---config@码表分类=主码-系统码表
---config@允许编辑=否
---config@码表别名=系统单字
的	debu#序999516
我	wopd#序999515
是	uior#序999514
一	yiaa#序999513
个	gerl#序999512
你	nirx#序999511
妳	ninx#序999510
不	buad#序999509
有	yzuo#序999508
就	jqwy#序999507
了	levl#序999506
了	lnvl#序999505
这	vezw#序999504
那	nave#序999503
那	nwve#序999502
么	meps#序999501
么	mops#序999500
在	zdut#序999499
好	hcnz#序999498
说	uoye#序999497
您	nbrx#序999496
要	ycxn#序999495
天	tmad#序999494
人	rfpn#序999493
话	hxyk#序999492
他	tary#序999491
们	mfrm#序999490
来	ldan#序999489
后	hzpk#序999488
十	eual#序999487
十	uial#序999486
下	xxab#序999485
以	yivr#序999484
到	dcad#序999483
没	mwdy#序999482
什	ufru#序999481
什	uiru#序999480
吗	makm#序999479
上	uhla#序999478
啊	aakk#序999477
嗯	enkx#序999476
嗯	ogkx#序999475
嗯	onkx#序999474
去	quts#序999473
可	kedk#序999472
给	gwsk#序999471
给	jisk#序999470
还	hdzb#序999469
还	hrzb#序999468
对	dvyc#序999467
时	uioc#序999466
都	dule#序999465
都	dzle#序999464
能	ngsb#序999463
会	hvrs#序999462
会	kkrs#序999461
多	doxx#序999460
大	daun#序999459
大	ddun#序999458
小	xnld#序999457
也	yevv#序999456
二	eraa#序999455
看	kjuo#序999454
为	wwdd#序999453
想	xlmx#序999452
三	sjae#序999451
点	dmlh#序999450
然	rjph#序999449
电	dmlv#序999448
打	dafd#序999447
吧	bakb#序999446
呢	nekb#序999445
呢	nikb#序999444
五	wuaa#序999443
开	kdac#序999442
请	qkyo#序999441
用	yskl#序999440
怎	zfvx#序999439
家	jxbu#序999438
样	yhmy#序999437
现	xmwe#序999436
年	nmpl#序999435
儿	erpv#序999434
得	deic#序999433
得	dwic#序999432
子	ziva#序999431
歌	gear#序999430
过	gozc#序999429
里	lila#序999428
行	hgii#序999427
行	hhii#序999426
行	xkii#序999425
中	vsll#序999424
生	ugpf#序999423
放	fhfw#序999422
呀	yaky#序999421
如	runk#序999420
四	sike#序999419
八	bapn#序999418
听	tkkj#序999417
道	dczz#序999416
机	jimj#序999415
候	hzru#序999414
出	iuvk#序999413
最	zvoy#序999412
发	favd#序999411
六	lqwb#序999410
六	luwb#序999409
百	bdab#序999408
问	wfmk#序999407
自	zipo#序999406
分	ffbd#序999405
很	hfig#序999404
学	xtxz#序999403
知	viuk#序999402
保	bcrm#序999401
九	jqpv#序999400
月	ytka#序999399
零	lkys#序999398
国	goky#序999397
觉	jnxe#序999396
觉	jtxe#序999395
面	mmaa#序999394
种	ishv#序999393
种	vshv#序999392
首	uzbz#序999391
地	dety#序999390
地	dity#序999389
果	goln#序999388
号	hckv#序999387
之	vidn#序999386
和	hehk#序999385
和	hohk#序999384
和	huhk#序999383
手	uzpl#序999382
哦	eekw#序999381
哦	ookw#序999380
边	bmzl#序999379
些	sove#序999378
些	xpve#序999377
哪	nake#序999376
哪	neke#序999375
哪	nwke#序999374
信	xbrk#序999373
事	uial#序999372
七	qiav#序999371
播	boft#序999370
业	yela#序999369
回	hvkk#序999368
比	bibb#序999367
着	vcyo#序999366
着	veyo#序999365
着	voyo#序999364
明	mkoo#序999363
老	lclb#序999362
跟	gfzg#序999361
定	dkbr#序999360
方	fhdw#序999359
气	qipv#序999358
做	zorw#序999357
车	ieal#序999356
车	jual#序999355
钱	qmjj#序999354
险	xmea#序999353
再	zdar#序999352
它	tabb#序999351
别	bpkd#序999350
心	xbdd#序999349
把	bafb#序999348
吃	iikq#序999347
意	yilx#序999346
因	ybkd#序999345
动	dsel#序999344
前	qmbd#序999343
少	ucxp#序999342
公	gsbs#序999341
费	fwfr#序999340
情	qkxo#序999339
女	nvva#序999338
她	tany#序999337
找	vcfg#序999336
两	llad#序999335
叫	jnkl#序999334
起	qitj#序999333
但	djrd#序999332
办	bjld#序999331
本	bfaa#序999330
呃	eekv#序999329
理	liwl#序999328
今	jbrv#序999327
当	dhxe#序999326
成	igwv#序999325
所	sopj#序999324
爱	aipy#序999323
帮	bhfj#序999322
实	uibd#序999321
几	jipv#序999320
买	mdvd#序999319
嘛	makm#序999318
谢	xpyc#序999317
己	jivv#序999316
快	kkxg#序999315
度	dogy#序999314
度	dugy#序999313
通	tszy#序999312
经	jksg#序999311
新	xblj#序999310
间	jmmo#序999309
量	lldl#序999308
量	llol#序999307
只	vikb#序999306
提	difr#序999305
提	tifr#序999304
真	vfub#序999303
高	gcwk#序999302
感	gjwx#序999301
感	gjxx#序999300
务	wuwl#序999299
等	dgvc#序999298
路	luzk#序999297
关	grbt#序999296
服	fuoy#序999295
日	rika#序999294
于	yual#序999293
其	jiqb#序999292
其	qiqb#序999291
作	zorv#序999290
查	iamd#序999289
查	vamd#序999288
次	cidr#序999287
音	yblo#序999286
工	gsaa#序999285
东	dsad#序999284
流	lqdv#序999283
像	xlrn#序999282
西	xiaa#序999281
市	uiwj#序999280
网	whkx#序999279
长	ihpn#序999278
长	vhpn#序999277
太	tddd#序999276
外	wdxb#序999275
第	divp#序999274
卡	kaub#序999273
卡	qxub#序999272
接	jpfn#序999271
按	anfn#序999270
才	cdap#序999269
期	jiqo#序999268
期	qiqo#序999267
全	qrrw#序999266
先	xmne#序999265
加	jxlk#序999264
薇	wwcw#序999263
正	vgav#序999262
进	jbzj#序999261
千	qmpu#序999260
万	moap#序999259
万	wjap#序999258
特	tenc#序999257
妈	manm#序999256
块	kktg#序999255
让	rhyu#序999254
安	anbn#序999253
乐	lepd#序999252
乐	ytpd#序999251
直	viuq#序999250
主	vudw#序999249
每	mwpm#序999248
身	ufpp#序999247
金	jbra#序999246
见	jmke#序999245
见	xmke#序999244
带	ddfj#序999243
线	xmsj#序999242
曲	qula#序999241
交	jnwx#序999240
周	vzkk#序999239
者	velo#序999238
又	yzvn#序999237
应	ykga#序999236
从	csrr#序999235
同	tskk#序999234
常	ihxj#序999233
走	zztr#序999232
法	fads#序999231
需	xuye#序999230
刚	ghkd#序999229
活	hodk#序999228
体	tirb#序999227
名	mkxk#序999226
题	tior#序999225
内	nwld#序999224
幺	ycvs#序999223
欢	hryr#序999222
啦	lakl#序999221
已	yivv#序999220
该	gdyr#序999219
合	gerk#序999218
合	herk#序999217
唱	ihko#序999216
完	wjbe#序999215
张	vhgi#序999214
晚	wjov#序999213
钟	vsjv#序999212
记	jiyj#序999211
美	mwyd#序999210
重	ispa#序999209
重	vspa#序999208
而	eral#序999207
短	drua#序999206
水	uvln#序999205
解	jpdn#序999204
解	xpdn#序999203
视	uipe#序999202
收	uzvw#序999201
星	xkou#序999200
头	tzdd#序999199
喜	xiuk#序999198
相	xlmo#序999197
系	jipx#序999196
系	xipx#序999195
近	jbzj#序999194
平	pkau#序999193
干	gjau#序999192
谁	uvyf#序999191
谁	uwyf#序999190
哎	aikx#序999189
司	sivk#序999188
被	bwpy#序999187
被	pipy#序999186
调	dnyk#序999185
调	tnyk#序999184
场	ihtp#序999183
位	wwrl#序999182
产	ijlp#序999181
友	yzuy#序999180
无	moav#序999179
无	moay#序999178
无	wuav#序999177
无	wuay#序999176
目	muka#序999175
讲	jlyj#序999174
醒	xkyu#序999173
码	maum#序999172
海	hddm#序999171
单	djbl#序999170
单	ijbl#序999169
单	ujbl#序999168
语	yuyk#序999167
息	xizx#序999166
孩	hdzr#序999165
玩	wjwe#序999164
北	bwlb#序999163
品	pbkk#序999162
台	tdsk#序999161
花	hxcb#序999160
思	sitx#序999159
思	sdtx#序999158
餐	cjll#序999157
部	bule#序999156
门	mfdv#序999155
咱	zakz#序999154
咱	zjkz#序999153
证	vgyv#序999152
套	tcds#序999151
较	jnix#序999150
文	wfwx#序999149
男	njtl#序999148
客	kebk#序999147
王	what#序999146
报	bcfy#序999145
早	zcou#序999144
包	bcbs#序999143
户	hudu#序999142
力	livp#序999141
或	hoga#序999140
南	naug#序999139
南	njug#序999138
更	ggan#序999137
款	krur#序999136
空	ksbg#序999135
资	zidr#序999134
宝	bcby#序999133
数	uumw#序999132
数	uomw#序999131
影	ykop#序999130
区	oukx#序999129
区	qukx#序999128
山	ujlk#序999127
员	yrkr#序999126
员	yykr#序999125
算	srvc#序999124
睡	uvoi#序999123
节	jpce#序999122
询	xyyo#序999121
考	kclv#序999120
价	jxrl#序999119
商	uhwk#序999118
搜	szfy#序999117
饭	fjuy#序999116
笑	xnvy#序999115
联	lmet#序999114
白	bdpo#序999113
结	jpsk#序999112
挺	tkfz#序999111
换	hrfd#序999110
店	dmgk#序999109
风	fgjx#序999108
件	jmrn#序999107
片	pmpv#序999106
房	fhhf#序999105
师	uilj#序999104
午	wupg#序999103
清	qkdo#序999102
城	igti#序999101
班	bjww#序999100
转	vriv#序999099
智	viuo#序999098
非	fwla#序999097
温	wfdm#序999096
爸	babb#序999095
认	rfyr#序999094
州	vzdl#序999093
亲	qblm#序999092
亲	qklm#序999091
朋	pgoo#序999090
变	bmwy#序999089
反	fjpy#序999088
校	jnmx#序999087
校	xnmx#序999086
啥	uakk#序999085
送	sszt#序999084
何	herk#序999083
集	jirm#序999082
消	xndo#序999081
银	ybjg#序999080
专	vrad#序999079
京	jkwx#序999078
入	rupn#序999077
化	hxrb#序999076
设	ueyy#序999075
使	uirl#序999074
声	ugup#序999073
告	gcnk#序999072
始	uink#序999071
半	bjdl#序999070
色	sedb#序999069
色	uddb#序999068
代	ddry#序999067
照	vcoh#序999066
微	wwiw#序999065
索	soux#序999064
世	uiav#序999063
原	yrix#序999062
院	yree#序999061
元	yree#序999060
性	xkxu#序999059
字	zibz#序999058
份	ffrd#序999057
游	yzdz#序999056
演	yjdb#序999055
雨	yuad#序999054
火	hodr#序999053
哈	hakk#序999052
物	wunw#序999051
马	mava#序999050
受	uzpy#序999049
建	jmzy#序999048
住	vurv#序999047
计	jiyu#序999046
光	glxw#序999045
便	bmrg#序999044
便	pmrg#序999043
红	hssg#序999042
口	kzla#序999041
管	grvk#序999040
表	bnfy#序999039
况	klde#序999038
确	qtuy#序999037
士	uiua#序999036
将	jldc#序999035
投	tzfy#序999034
站	vjlk#序999033
死	sidb#序999032
导	dcsc#序999031
英	ykcy#序999030
利	lihd#序999029
阳	yheo#序999028
医	yiku#序999027
取	quey#序999026
票	pnxx#序999025
与	yuaa#序999024
式	uiyg#序999023
选	xrze#序999022
聊	lnee#序999021
改	gdjw#序999020
级	jisj#序999019
书	uuvd#序999018
难	njyf#序999017
飞	fwvd#序999016
李	limz#序999015
营	ykck#序999014
格	gemk#序999013
类	lwmd#序999012
华	hxru#序999011
诉	suyi#序999010
超	ictk#序999009
额	eebr#序999008
录	lueu#序999007
任	rfrr#序999006
总	zsbx#序999005
广	gldi#序999004
广	glwp#序999003
省	uguo#序999002
省	xkuo#序999001
哥	geak#序999000
哥	gedk#序998999
处	iuwb#序998998
拿	naru#序998997
稍	ucho#序998996
界	jptl#序998995
基	jiqt#序998994
江	jldg#序998993
够	gzbx#序998992
岁	svex#序998991
器	qikk#序998990
制	vipd#序998989
望	whww#序998988
程	ighw#序998987
条	tnwm#序998986
求	qqad#序998985
教	jnlw#序998984
民	mbvv#序998983
强	jlgi#序998982
强	qlgi#序998981
姐	jpnq#序998980
嘿	hwkh#序998979
达	dazd#序998978
病	bkbb#序998977
注	vudv#序998976
销	xnjo#序998975
林	lbmm#序998974
运	yyzs#序998973
整	vguv#序998972
试	uiyg#序998971
故	guuw#序998970
园	yrke#序998969
准	vydf#序998968
错	cojo#序998967
图	tukd#序998966
黄	hlcb#序998965
越	yttv#序998964
眼	yjog#序998963
且	jula#序998962
且	qpla#序998961
肯	kfvo#序998960
写	xpby#序998959
示	uiex#序998958
购	gzks#序998957
向	xlpk#序998956
戏	xiyg#序998955
连	lmzi#序998954
具	juqb#序998953
传	irrv#序998952
传	vrrv#序998951
及	jipn#序998950
限	xmeg#序998949
卖	mdud#序998948
习	xivd#序998947
除	iueh#序998946
假	jxry#序998945
附	fuec#序998944
付	furc#序998943
亮	llwj#序998942
福	fupt#序998941
移	yihx#序998940
冷	lgds#序998939
神	ufpu#序998938
支	viuy#序998937
伤	uhrl#序998936
免	mmdv#序998935
装	vldy#序998934
科	kehu#序998933
续	xusd#序998932
龙	lsud#序998931
持	iifc#序998930
