---config@码表分类=主码-5
---config@允许编辑=是
---config@码表别名=系统词组
就是	jquiwo#序60000
这个	vegezr#序60000
那个	nagevr#序60000
然后	rjhzpp#序60000
一个	yigear#序60000
给我	gwwosp#序60000
什么	ufmerp#序60000
一下	yixxaa#序60000
小薇	xnwwlc#序60000
你好	nihcrn#序60000
可以	keyidv#序60000
播放	bofhff#序60000
我们	womfpr#序60000
没有	mwyzdu#序60000
打开	dakdfa#序60000
现在	xmzdwu#序60000
好的	hcdenb#序60000
但是	djuiro#序60000
请按	qkanyf#序60000
还是	hduizo#序60000
流量	lqlldd#序60000
流量	lqlldo#序60000
不是	buuiao#序60000
明天	mktmoa#序60000
时候	uihzor#序60000
还有	hdyzzu#序60000
提醒	tixkfy#序60000
怎么	zfmevp#序60000
帮我	bhwofp#序60000
因为	ybwwkd#序60000
套餐	tccjdl#序60000
今天	jbtmra#序60000
都是	dzuilo#序60000
一首	yiuzab#序60000
天气	tmqiap#序60000
手机	uzjipm#序60000
之后	vihzdp#序60000
自己	zijipv#序60000
那你	nanivr#序60000
你们	nimfrr#序60000
搜索	szsofu#序60000
是吧	uibaok#序60000
觉得	jtdexi#序60000
我想	woxlpm#序60000
电话	dmhxly#序60000
那种	navsvh#序60000
我的	wodepb#序60000
这边	vebmzz#序60000
他们	tamfrr#序60000
那我	nawovp#序60000
咱们	zjmfkr#序60000
给您	gwnbsr#序60000
我是	wouipo#序60000
路线	luxmzs#序60000
我就	wojqpw#序60000
请问	qkwfym#序60000
多少	doucxx#序60000
我要	woycpx#序60000
需要	xuycyx#序60000
您好	nbhcrn#序60000
如果	rugonl#序60000
您的	nbderb#序60000
你的	niderb#序60000
以后	yihzvp#序60000
也是	yeuivo#序60000
其实	qiuiqb#序60000
零一	lkyiya#序60000
叫我	jnwokp#序60000
谢谢	xpxpyy#序60000
给你	gwnisr#序60000
这种	vevszh#序60000
是吗	uimaok#序60000
一些	yixpav#序60000
所以	soyipv#序60000
先生	xmugnp#序60000
温度	wfdudg#序60000
办理	bjlilw#序60000
保险	bcxmre#序60000
来一	ldyiaa#序60000
特别	tebpnk#序60000
晚上	wjuhol#序60000
我说	wouopy#序60000
申请	ufqkly#序60000
歌曲	gequal#序60000
号码	hcmaku#序60000
查询	iaxymy#序60000
再见	zdjmak#序60000
你是	niuiro#序60000
我我	wowopp#序60000
公司	gssibv#序60000
东西	dsxiaa#序60000
帮您	bhnbfr#序60000
问题	wftimo#序60000
感觉	gjjtwx#序60000
感觉	gjjtxx#序60000
咨询	zixydy#序60000
时间	uijmom#序60000
反正	fjvgpa#序60000
知道	vidcuz#序60000
这样	veyhzm#序60000
已经	yijkvs#序60000
那么	namevp#序60000
服务	fuwuow#序60000
或者	hovegl#序60000
短信	drxbur#序60000
业务	yewulw#序60000
一点	yidmal#序60000
小智	xnvilu#序60000
可能	kengds#序60000
真的	vfdeub#序60000
对对	dvdvyy#序60000
您这	nbverz#序60000
对呀	dvyayk#序60000
之前	viqmdb#序60000
笑话	xnhxvy#序60000
开始	kduian#序60000
而且	erqpal#序60000
音乐	ybytlp#序60000
你说	niuory#序60000
那您	nanbvr#序60000
他就	tajqrw#序60000
那这	navevz#序60000
你就	nijqrw#序60000
里面	limmla#序60000
通话	tshxzy#序60000
那那	nanavv#序60000
宽带	krddbf#序60000
朋友	pgyzou#序60000
女士	nvuivu#序60000
分钟	ffvsbj#序60000
早上	zcuhol#序60000
这些	vexpzv#序60000
孩子	hdzizv#序60000
两个	llgear#序60000
那些	naxpvv#序60000
空调	kstnby#序60000
直接	vijpuf#序60000
我都	wodzpl#序60000
不要	buycax#序60000
我在	wozdpu#序60000
老师	lcuill#序60000
刚才	ghcdka#序60000
对吧	dvbayk#序60000
他的	taderb#序60000
导航	dchhsv#序60000
哎呀	aiyakk#序60000
中国	vsgolk#序60000
应该	ykgdgy#序60000
查找	iavcmf#序60000
好像	hcxlnr#序60000
这是	veuizo#序60000
好吗	hcmank#序60000
信息	xbxirz#序60000
情况	qkklxd#序60000
进行	jbxkzi#序60000
下载	xxzdau#序60000
电影	dmyklo#序60000
您是	nbuiro#序60000
语音	yuybyl#序60000
后来	hzldpa#序60000
附近	fujbez#序60000
零零	lklkyy#序60000
你要	niycrx#序60000
五百	wubdaa#序60000
人家	rfjxpb#序60000
一样	yiyham#序60000
