---config@码表分类=主码-4
---config@允许编辑=是
---config@码表别名=低频简词
打开	dakd#序65000
先生	xmug#序65000
他说	tauo#序65000
使用	uiys#序65000
一次	yici#序65000
属于	uuyu#序65000
意外	yiwd#序65000
直播	vibo#序65000
电台	dmtd#序65000
是啊	uiaa#序65000
都在	dzzd#序65000
她说	tauo#序65000
全部	qrbu#序65000
大的	dade#序65000
六十	lqui#序65000
机会	jihv#序65000
地图	ditu#序65000
部分	buff#序65000
由于	yzyu#序65000
妹妹	mwmw#序65000
简单	jmdj#序65000
七八	qiba#序65000
你别	nibp#序65000
明星	mkxk#序65000
十万	uiwj#序65000
饭店	fjdm#序65000
演的	yjde#序65000
聚会	juhv#序65000
满意	mjyi#序65000
面的	mmde#序65000
师傅	uifu#序65000
有雨	yzyu#序65000
生日	ugri#序65000
路上	luuh#序65000
是最	uizv#序65000
要看	yckj#序65000
输入	uuru#序65000
假如	jxru#序65000
营养	ykyh#序65000
九三	jqsj#序65000
随时	svui#序65000
梦想	mgxl#序65000
行吧	xkba#序65000
姓名	xkmk#序65000
更改	gggd#序65000
是用	uiys#序65000
冠军	grjy#序65000
等待	dgdd#序65000
收取	uzqu#序65000
鸡巴	jiba#序65000
两万	llwj#序65000
儿啊	eraa#序65000
九万	jqwj#序65000
是啥	uiua#序65000
联想	lmxl#序65000
称呼	ighu#序65000
加入	jxru#序65000
力量	lill#序65000
长期	ihqi#序65000
有啊	yzaa#序65000
汉语	hjyu#序65000
福州	fuvz#序65000
期待	qidd#序65000
一旦	yidj#序65000
一部	yibu#序65000
客厅	ketk#序65000
要给	ycgw#序65000
联网	lmwh#序65000
是会	uihv#序65000
韩语	hjyu#序65000
食堂	uith#序65000
一路	yilu#序65000
四九	sijq#序65000
版本	bjbf#序65000
在他	zdta#序65000
以外	yiwd#序65000
就叫	jqjn#序65000
工程	gsig#序65000
是对	uidv#序65000
没说	mwuo#序65000
我比	wobi#序65000
如此	ruci#序65000
房贷	fhdd#序65000
制度	vidu#序65000
是去	uiqu#序65000
剩余	ugyu#序65000
矛盾	mcdy#序65000
环比	hrbi#序65000
实施	uiui#序65000
先去	xmqu#序65000
就放	jqfh#序65000
我等	wodg#序65000
几岁	jisv#序65000
去啊	quaa#序65000
优酷	yzku#序65000
六三	lqsj#序65000
越多	ytdo#序65000
一步	yibu#序65000
智商	viuh#序65000
本金	bfjb#序65000
那叫	najn#序65000
我小	woxn#序65000
七六	qilq#序65000
西瓜	xigx#序65000
评定	pkdk#序65000
理想	lixl#序65000
措施	coui#序65000
节日	jpri#序65000
把您	banb#序65000
上映	uhyk#序65000
去一	quyi#序65000
不信	buxb#序65000
万能	wjng#序65000
描述	mnuu#序65000
完美	wjmw#序65000
它在	tazd#序65000
儿呢	erne#序65000
没给	mwgw#序65000
大海	dahd#序65000
去世	quui#序65000
场景	ihjk#序65000
一兆	yivc#序65000
不跟	bugf#序65000
关灯	grdg#序65000
我非	wofw#序65000
呼吸	huxi#序65000
去上	quuh#序65000
曲子	quzi#序65000
海洋	hdyh#序65000
金属	jbuu#序65000
一顿	yidy#序65000
异地	yidi#序65000
文明	wfmk#序65000
是如	uiru#序65000
孤独	gudu#序65000
四一	siyi#序65000
又说	yzuo#序65000
趋势	quui#序65000
支行	vihh#序65000
羡慕	xmmu#序65000
玉米	yumi#序65000
吸引	xiyb#序65000
信心	xbxb#序65000
预定	yudk#序65000
演戏	yjxi#序65000
蝴蝶	hudp#序65000
卫生	wwug#序65000
断了	drle#序65000
十度	uidu#序65000
们现	mfxm#序65000
有病	yzbk#序65000
就发	jqfa#序65000
这对	vedv#序65000
和女	henv#序65000
失去	uiqu#序65000
古诗	guui#序65000
政治	vgvi#序65000
混蛋	hydj#序65000
一层	yicg#序65000
会让	hvrh#序65000
天上	tmuh#序65000
是已	uiyi#序65000
一亿	yiyi#序65000
见客	jmke#序65000
病毒	bkdu#序65000
那条	natn#序65000
指引	viyb#序65000
只会	vihv#序65000
是本	uibf#序65000
会上	hvuh#序65000
事实	uiui#序65000
工行	gshh#序65000
实时	uiui#序65000
两三	llsj#序65000
要问	ycwf#序65000
好点	hcdm#序65000
师父	uifu#序65000
不还	buhd#序65000
岁数	svuu#序65000
他如	taru#序65000
不分	buff#序65000
总部	zsbu#序65000
夫人	furf#序65000
长一	vhyi#序65000
一代	yidd#序65000
先用	xmys#序65000
至今	vijb#序65000
布局	buju#序65000
规范	gvfj#序65000
历代	lidd#序65000
主持	vuii#序65000
一笔	yibi#序65000
点不	dmbu#序65000
去洗	quxi#序65000
寻思	xysi#序65000
首付	uzfu#序65000
释放	uifh#序65000
每每	mwmw#序65000
上上	uhuh#序65000
减弱	jmro#序65000
维护	wwhu#序65000
背首	bwuz#序65000
喜剧	xiju#序65000
