---config@码表分类=主码-7
---config@允许编辑=是
---config@码表别名=系统唐诗
渭川田家	wwirtmjxdb#序52000
焚烧杀掠	ffucualthf#序52000
焚烧杀掠	ffucualtht#序52000
几尽而去	jijberqupt#序52000
送杨氏女	ssyhuinvza#序52000
送杨氏女	ssyhuinvzv#序52000
子夜秋歌	ziyeqqgeaq#序52000
子夜秋歌	ziyeqqgevq#序52000
送陈章甫	ssifvhfuza#序52000
送陈章甫	ssifvhfuzh#序52000
列缺霹雳	lpqtpilidy#序52000
丘峦崩摧	qqlrbgcvjf#序52000
丘峦崩摧	qqlrbgcvjt#序52000
丘峦崩摧	qqlrbgcvpf#序52000
丘峦崩摧	qqlrbgcvpt#序52000
洞天石扇	dstmuiujdh#序52000
洞天石扇	dstmuiujdy#序52000
訇然中开	hsrjvskdba#序52000
訇然中开	hsrjvskdbh#序52000
訇然中开	hsrjvskdga#序52000
訇然中开	hsrjvskdgh#序52000
訇然中开	hsrjvskdya#序52000
訇然中开	hsrjvskdyh#序52000
寄韩谏议	jihjjmyiby#序52000
时取一醉	uiquyizvoy#序52000
时取一醉	uiquyizvry#序52000
使舫载之	uifhzdvird#序52000
遍饮坐者	bmybzovezl#序52000
遍饮坐者	bmybzovezo#序52000
遍饮坐者	bmybzovezr#序52000
古从军行	gucsjyxkur#序52000
古从军行	gucsjyxkux#序52000
危呼高哉	wwhugczddg#序52000
危呼高哉	wwhugczddk#序52000
朝避猛虎	icbimghuoh#序52000
朝避猛虎	icbimghuuh#序52000
朝避猛虎	icbimghuyh#序52000
夕避长蛇	xibivhuepi#序52000
磨牙吮血	moyauyxtmp#序52000
磨牙吮血	moyauyxtup#序52000
望月怀远	whythkyrwz#序52000
在狱咏蝉	zdyuysijti#序52000
在狱咏蝉	zdyuysijui#序52000
赠孟浩然	zgmghcrjbd#序52000
赠孟浩然	zgmghcrjbh#序52000
春宿左省	iysuzougfm#序52000
春宿左省	iysuzougfo#序52000
春宿左省	iysuzougom#序52000
春宿左省	iysuzougoo#序52000
春宿左省	iysuzougrm#序52000
春宿左省	iysuzougro#序52000
旅夜书怀	lvyeuuhkfx#序52000
登岳阳楼	dgytyhlzdm#序52000
山居秋暝	ujjuqqmkao#序52000
山居秋暝	ujjuqqmkar#序52000
山居秋暝	ujjuqqmkuo#序52000
山居秋暝	ujjuqqmkur#序52000
归嵩山作	gvssujzoar#序52000
归嵩山作	gvssujzodr#序52000
归嵩山作	gvssujzour#序52000
酬张少府	izvhucfuyg#序52000
过香积寺	goxljisizc#序52000
过香积寺	goxljisizt#序52000
汉江临泛	hjjllbfjdd#序52000
终南别业	vsnjbpyesa#序52000
终南别业	vsnjbpyesu#序52000
留别王维	lqbpwhwwls#序52000
留别王维	lqbpwhwwts#序52000
蜀先主庙	uuxmvumnsg#序52000
没蕃故人	mwfjgurfdp#序52000
送人东游	ssrfdsyzzd#序52000
灞上秋居	bauhqqjudu#序52000
楚江怀古	iujlhkgumu#序52000
楚江怀古	iujlhkgupu#序52000
除夜有怀	iuyeyzhkex#序52000
章台夜思	vhtdyesilt#序52000
章台夜思	vhtdyesilx#序52000
行经华阴	xkjkhxybre#序52000
行经华阴	xkjkhxybxe#序52000
赠郭给事	zggogwuiba#序52000
赠郭给事	zggogwuibh#序52000
咏怀古迹	yshkgujikz#序52000
晚次鄂州	wjcieevzod#序52000
晚次鄂州	wjcieevzoi#序52000
晚次鄂州	wjcieevzrd#序52000
晚次鄂州	wjcieevzri#序52000
利州南渡	livznjdudd#序52000
利州南渡	livznjduhd#序52000
问刘十九	wflquijqkp#序52000
问刘十九	wflquijqmp#序52000
登乐游原	dgleyzyrdi#序52000
逢入京使	fgrujkuizr#序52000
题金陵渡	tijblkduud#序52000
题金陵渡	tijblkduyd#序52000
兰叶春葳蕤	ljyeiywwrvbc#序52000
兰叶春葳蕤	ljyeiywwrvqc#序52000
桂华秋皎洁	gvhxqqjnjpmd#序52000
欣欣此生意	xbxbciugyijl#序52000
欣欣此生意	xbxbciugyijx#序52000
欣欣此生意	xbxbciugyiql#序52000
欣欣此生意	xbxbciugyiqx#序52000
自尔为佳节	zierwwjxjppc#序52000
谁知林栖者	uvvilbqiveyl#序52000
谁知林栖者	uvvilbqiveyo#序52000
谁知林栖者	uvvilbqiveyr#序52000
闻风坐相悦	wffgzoxlytex#序52000
闻风坐相悦	wffgzoxlytmx#序52000
草木有本心	ccmuyzbfxbcd#序52000
何求美人折	heqqmwrfverf#序52000
何求美人折	heqqmwrfvert#序52000
江南有丹桔	jlnjyzdjjudm#序52000
经冬犹绿林	jkdsyzlulbsm#序52000
岂伊地气暖	qiyidiqinruo#序52000
岂伊地气暖	qiyidiqinrur#序52000
自有岁寒心	ziyzsvhjxbpd#序52000
可以荐佳客	keyijmjxkedb#序52000
奈何阻重深	ndhezuvsufdd#序52000
运命唯所遇	yymkwwsoyuzz#序52000
循环不可寻	xyhrbukexyrc#序52000
循环不可寻	xyhrbukexyrx#序52000
循环不可寻	xyhrbukexyxc#序52000
循环不可寻	xyhrbukexyxx#序52000
徒言树桃李	tuyjuutclirm#序52000
徒言树桃李	tuyjuutclixm#序52000
此木岂无阴	cimuqiwuybve#序52000
暮从碧山下	mucsbiujxxca#序52000
暮从碧山下	mucsbiujxxch#序52000
暮从碧山下	mucsbiujxxoa#序52000
暮从碧山下	mucsbiujxxoh#序52000
暮从碧山下	mucsbiujxxra#序52000
暮从碧山下	mucsbiujxxrh#序52000
山月随人归	ujytsvrfgvaa#序52000
山月随人归	ujytsvrfgvad#序52000
山月随人归	ujytsvrfgvau#序52000
山月随人归	ujytsvrfgvua#序52000
山月随人归	ujytsvrfgvud#序52000
山月随人归	ujytsvrfgvuu#序52000
却顾所来径	qtgusoldjker#序52000
却顾所来径	qtgusoldjkex#序52000
苍苍横翠微	chchhgcvwwcr#序52000
苍苍横翠微	chchhgcvwwcx#序52000
相携及田家	xlxpjitmjxmb#序52000
