---config@码表分类=主码-7
---config@允许编辑=是
---config@码表别名=系统唐诗
渭川田家	wzirtmjwdb#序52000
焚烧杀掠	ffucualtmf#序52000
几尽而去	jijlerqupt#序52000
送杨氏女	ssyhuinvzv#序52000
子夜秋歌	ziyeqqgeva#序52000
送陈章甫	ssifvhfuza#序52000
列缺霹雳	lpqtpilidy#序52000
丘峦崩摧	qqlrbgcvpf#序52000
洞天石扇	dstmuiujdh#序52000
訇然中开	hsrjvskdba#序52000
寄韩谏议	jihjjmyiby#序52000
时取一醉	uiquyizvoy#序52000
使舫载之	uifhzdvird#序52000
遍饮坐者	bmylzovezl#序52000
古从军行	gucsjyxkui#序52000
危呼高哉	wzhugczddu#序52000
朝避猛虎	icbimghuuh#序52000
夕避长蛇	xibivhuepi#序52000
磨牙吮血	moyauyxtgp#序52000
望月怀远	whythkyrwz#序52000
在狱咏蝉	zdyuysijui#序52000
赠孟浩然	zgmghcrjkp#序52000
春宿左省	iysuzougfu#序52000
旅夜书怀	lvyeuuhkfx#序52000
登岳阳楼	dgytyhlbvm#序52000
山居秋暝	ujjuqqmklo#序52000
归嵩山作	gvssujzolr#序52000
酬张少府	ibvhucfuyg#序52000
过香积寺	goxxjisizt#序52000
汉江临泛	hjjxllfjdd#序52000
终南别业	vsnjbpyesl#序52000
留别王维	lqbpwhwzps#序52000
蜀先主庙	uuxmvumnsg#序52000
没蕃故人	mzfjgurfdp#序52000
送人东游	ssrfdsybzd#序52000
灞上秋居	bauhqqjudu#序52000
楚江怀古	iujxhkgumu#序52000
除夜有怀	iuyeybhkex#序52000
章台夜思	vhtdyesilt#序52000
行经华阴	xkjkhwylie#序52000
赠郭给事	zggogzuika#序52000
咏怀古迹	yshkgujikz#序52000
晚次鄂州	wjcieevbod#序52000
利州南渡	livbnjduhd#序52000
问刘十九	wflquijqmp#序52000
登乐游原	dgleybyrvi#序52000
逢入京使	fgrujkuizr#序52000
题金陵渡	tijllkduod#序52000
兰叶春葳蕤	ljyeiywzrvbc#序52000
桂华秋皎洁	gvhwqqjnjpmd#序52000
欣欣此生意	xlxlciugyijl#序52000
自尔为佳节	zierwzjwjppc#序52000
谁知林栖者	uvvillqiveyl#序52000
闻风坐相悦	wffgzoxxytmx#序52000
草木有本心	ccmuybbfxlcd#序52000
何求美人折	heqqmzrfverf#序52000
江南有丹桔	jxnjybdjjudm#序52000
经冬犹绿林	jkdsyblullsm#序52000
岂伊地气暖	qiyidiqinreo#序52000
自有岁寒心	ziybsvhjxlpd#序52000
可以荐佳客	keyijmjwkedb#序52000
奈何阻重深	ndhezuvsufdd#序52000
运命唯所遇	yymkwzsoyuzz#序52000
循环不可寻	xyhrbukexyie#序52000
徒言树桃李	tuyjuutcliim#序52000
此木岂无阴	cimuqiwuylve#序52000
暮从碧山下	mucsbiujxwca#序52000
山月随人归	ujytsvrfgvll#序52000
却顾所来径	qtgusoldjkti#序52000
苍苍横翠微	chchhgcvwzci#序52000
相携及田家	xxxpjitmjwmb#序52000
童稚开荆扉	tsvikdjkfzlh#序52000
绿竹入幽径	lvvuruybjksi#序52000
青萝拂行衣	qklofuxkyifw#序52000
欢言得所憩	hryjdesoqiyq#序52000
美酒聊共挥	mzjqlngshvyf#序52000
长歌吟松风	vhgeylssfgpj#序52000
曲尽河星稀	qujlhexkxilh#序52000
我醉君复乐	wozvjyfulepp#序52000
陶然共忘机	tcrjgswhjiem#序52000
花间一壶酒	hwjmyihujqcd#序52000
举杯邀明月	jubzycmkytxk#序52000
对影成三人	dvykigsjrfyp#序52000
月既不解饮	ytjibujpylku#序52000
影徒随我身	yktusvwoufop#序52000
暂伴月将影	zjbjytjxykio#序52000
行乐须及春	xklexujiiyif#序52000
我歌月徘徊	wogeytpdhkpi#序52000
我舞影零乱	wowuyklklrpq#序52000
醒时同交欢	xkuitsjnhryy#序52000
醉后各分散	zvhbgeffsjyc#序52000
永结无情游	ysjpwuqkybdd#序52000
相期邈云汉	xxqimnyyhjmd#序52000
燕草如碧丝	yjccrubisinv#序52000
秦桑低绿枝	qlshdilvvifm#序52000
当君怀归日	dhjyhkgvrixk#序52000
是妾断肠时	uiqpdrihuioo#序52000
春风不相识	iyfgbuxxuify#序52000
何事入罗帏	heuirulowzrj#序52000
岱宗夫如何	ddzsfuruherr#序52000
齐鲁青未了	qiluqkwzlnwv#序52000
造化钟神秀	zchwvsufxqzh#序52000
阴阳割昏晓	ylyhgehyxneo#序52000
荡胸生层云	dhxsugcgyyce#序52000
决眦入归鸟	jtzirugvnndp#序52000
决眦入归鸟	jtzirugvnndw#序52000
赠卫八处士	zgwzbaiuuiku#序52000
人生不相见	rfugbuxxjmpk#序52000
动如参与商	dsrucjyuuhew#序52000
今夕复何夕	jlxifuhexirp#序52000
共此灯烛光	gscidgvugxcx#序52000
少壮能几时	ucvxngjiuixo#序52000
鬓发各已苍	blfageyichac#序52000
访旧半为鬼	fhjqbjwzgvyp#序52000
惊呼热中肠	jkhurevsihxo#序52000
焉知二十载	yjvieruizdvu#序52000
重上君子堂	vsuhjyzithpx#序52000
昔别君未婚	xibpjywzhycn#序52000
儿女忽成行	ernvhuighhpi#序52000
怡然敬父执	yirjjkfuvixf#序52000
问我来何方	wfwoldhefhmd#序52000
问答乃未已	wfdandwzyimv#序52000
驱儿罗酒浆	querlojqjxmd#序52000
夜雨剪春韭	yeyujmiyjqwf#序52000
新炊间黄粱	xlivjmhxlxld#序52000
主称会面难	vuighvmmnjdy#序52000
一举累十觞	yijulzuiuhad#序52000
十觞亦不醉	uiuhyibuzvay#序52000
感子故意长	gjziguyivhwp#序52000
感子故意长	gjziguyivhxp#序52000
明日隔山岳	mkrigeujytoq#序52000
世事两茫茫	uiuilxmhmhac#序52000
