---config@码表分类=主码-4
---config@允许编辑=是
---config@码表别名=低频简词
打开	dakd#序65000
以后	yihb#序65000
先生	xmug#序65000
他说	tauo#序65000
使用	uiys#序65000
一次	yici#序65000
意外	yiwd#序65000
电台	dmtd#序65000
是啊	uiaa#序65000
都在	dbzd#序65000
整个	vgge#序65000
她说	tauo#序65000
全部	qrbu#序65000
大的	dade#序65000
六十	lqui#序65000
机会	jihv#序65000
地图	ditu#序65000
考虑	kclv#序65000
部分	buff#序65000
由于	ybyu#序65000
简单	jmdj#序65000
一遍	yibm#序65000
明星	mkxk#序65000
十万	uiwj#序65000
演的	yjde#序65000
聚会	juhv#序65000
满意	mjyi#序65000
面的	mmde#序65000
师傅	uifu#序65000
有雨	ybyu#序65000
生日	ugri#序65000
一边	yibm#序65000
路上	luuh#序65000
是最	uizv#序65000
要看	yckj#序65000
输入	uuru#序65000
九三	jqsj#序65000
想想	xxxx#序65000
随时	svui#序65000
行吧	xkba#序65000
姓名	xkmk#序65000
更改	gggd#序65000
是用	uiys#序65000
冠军	grjy#序65000
等待	dgdd#序65000
收取	ubqu#序65000
两万	lxwj#序65000
儿啊	eraa#序65000
九万	jqwj#序65000
是啥	uiua#序65000
新疆	xljx#序65000
长期	ihqi#序65000
尽量	jllx#序65000
有啊	ybaa#序65000
汉语	hjyu#序65000
期待	qidd#序65000
一旦	yidj#序65000
客厅	ketk#序65000
去吃	quii#序65000
想象	xxxx#序65000
联网	lmwh#序65000
韩语	hjyu#序65000
不来	buld#序65000
食堂	uith#序65000
你手	niub#序65000
版本	bjbf#序65000
在他	zdta#序65000
贵州	gvvb#序65000
以外	yiwd#序65000
就叫	jqjn#序65000
这有	veyb#序65000
工程	gsig#序65000
挂钩	gwgb#序65000
是对	uidv#序65000
没说	mzuo#序65000
大病	dabk#序65000
我比	wobi#序65000
如此	ruci#序65000
房贷	fhdd#序65000
制度	vidu#序65000
聊聊	lnln#序65000
是去	uiqu#序65000
剩余	ugyu#序65000
矛盾	mcdy#序65000
环比	hrbi#序65000
实施	uiui#序65000
先去	xmqu#序65000
形象	xkxx#序65000
就放	jqfh#序65000
把手	baub#序65000
我等	wodg#序65000
几岁	jisv#序65000
优酷	ybku#序65000
六三	lqsj#序65000
冲突	istu#序65000
那叫	najn#序65000
