---config@码表分类=主码-6
---config@允许编辑=是
---config@码表别名=系统简词
渭川田家	witjdb#序55000
焚烧杀掠	fuullf#序55000
焚烧杀掠	fuullt#序55000
几尽而去	jjeqpt#序55000
送杨氏女	syunza#序55000
送杨氏女	syunzv#序55000
子夜秋歌	zyqgag#序55000
子夜秋歌	zyqgvg#序55000
送陈章甫	sivfza#序55000
列缺霹雳	lqpldy#序55000
丘峦崩摧	qlbcpf#序55000
丘峦崩摧	qlbcpt#序55000
洞天石扇	dtuudh#序55000
洞天石扇	dtuudy#序55000
訇然中开	hrvkba#序55000
寄韩谏议	jhjyby#序55000
时取一醉	uqyzry#序55000
使舫载之	ufzvrd#序55000
遍饮坐者	byzvzl#序55000
古从军行	gcjxui#序55000
危呼高哉	whgzdg#序55000
危呼高哉	whgzdk#序55000
朝避猛虎	ibmhoh#序55000
朝避猛虎	ibmhuh#序55000
朝避猛虎	ibmhyh#序55000
夕避长蛇	xbvupi#序55000
磨牙吮血	myuxmp#序55000
磨牙吮血	myuxup#序55000
望月怀远	wyhywz#序55000
在狱咏蝉	zyyiti#序55000
在狱咏蝉	zyyiui#序55000
赠孟浩然	zmhrbd#序55000
赠孟浩然	zmhrbh#序55000
春宿左省	iszufm#序55000
春宿左省	iszufo#序55000
春宿左省	iszuom#序55000
春宿左省	iszuoo#序55000
春宿左省	iszurm#序55000
春宿左省	iszuro#序55000
旅夜书怀	lyuhfx#序55000
登岳阳楼	dyyldm#序55000
山居秋暝	ujqmlr#序55000
归嵩山作	gsuzlr#序55000
酬张少府	ivufyg#序55000
过香积寺	gxjszt#序55000
汉江临泛	hjlfdd#序55000
终南别业	vnbysl#序55000
留别王维	lbwwls#序55000
留别王维	lbwwts#序55000
蜀先主庙	uxvmsg#序55000
没蕃故人	mfgrdp#序55000
送人东游	srdyzd#序55000
灞上秋居	buqjdu#序55000
楚江怀古	ijhgmu#序55000
楚江怀古	ijhgpu#序55000
除夜有怀	iyyhex#序55000
章台夜思	vtyslt#序55000
章台夜思	vtyslx#序55000
行经华阴	xjhyie#序55000
赠郭给事	zgguba#序55000
咏怀古迹	yhgjkz#序55000
晚次鄂州	wcevrd#序55000
晚次鄂州	wcevri#序55000
利州南渡	lvnddd#序55000
利州南渡	lvndhd#序55000
问刘十九	wlujkp#序55000
问刘十九	wlujmp#序55000
登乐游原	dlyydi#序55000
逢入京使	frjuzr#序55000
题金陵渡	tjldud#序55000
兰叶春葳蕤	lyiwrbc#序55000
桂华秋皎洁	ghqjjmd#序55000
欣欣此生意	xxcuyjy#序55000
欣欣此生意	xxcuyqy#序55000
自尔为佳节	zewjjpc#序55000
谁知林栖者	uvlqvyl#序55000
闻风坐相悦	wfzxyex#序55000
草木有本心	cmybxcd#序55000
何求美人折	hqmrvrf#序55000
何求美人折	hqmrvrt#序55000
江南有丹桔	jnydjdm#序55000
经冬犹绿林	jdyllsm#序55000
岂伊地气暖	qydqnur#序55000
自有岁寒心	zyshxpd#序55000
可以荐佳客	kyjjkdb#序55000
奈何阻重深	nhzvudd#序55000
运命唯所遇	ymwsyzz#序55000
循环不可寻	xhbkxic#序55000
循环不可寻	xhbkxix#序55000
徒言树桃李	tyutlim#序55000
此木岂无阴	cmqwyve#序55000
暮从碧山下	mcbuxca#序55000
暮从碧山下	mcbuxoa#序55000
暮从碧山下	mcbuxra#序55000
山月随人归	uysrgll#序55000
却顾所来径	qgsljqi#序55000
苍苍横翠微	cchcwci#序55000
相携及田家	xxjtjmb#序55000
童稚开荆扉	tvkjflh#序55000
绿竹入幽径	lvryjsi#序55000
青萝拂行衣	qlfxyfd#序55000
青萝拂行衣	qlfxyod#序55000
青萝拂行衣	qlfxyyd#序55000
欢言得所憩	hydsqyu#序55000
美酒聊共挥	mjlghdf#序55000
美酒聊共挥	mjlghdt#序55000
美酒聊共挥	mjlghyf#序55000
美酒聊共挥	mjlghyt#序55000
长歌吟松风	vgysfpj#序55000
曲尽河星稀	qjhxxlh#序55000
我醉君复乐	wzjflpp#序55000
陶然共忘机	trgwjem#序55000
花间一壶酒	hjyhjcd#序55000
举杯邀明月	jbymydo#序55000
举杯邀明月	jbymydy#序55000
举杯邀明月	jbymydp#序55000
举杯邀明月	jbymyxo#序55000
举杯邀明月	jbymyxy#序55000
举杯邀明月	jbymyxp#序55000
对影成三人	dyisrcp#序55000
对影成三人	dyisryp#序55000
月既不解饮	yjbjyou#序55000
月既不解饮	yjbjyyu#序55000
月既不解饮	yjbjypu#序55000
影徒随我身	ytswujp#序55000
暂伴月将影	zbyjyoj#序55000
暂伴月将影	zbyjyrj#序55000
行乐须及春	xlxjiif#序55000
行乐须及春	xlxjiio#序55000
行乐须及春	xlxjiir#序55000
我歌月徘徊	wgyphpi#序55000
我舞影零乱	wwyllpu#序55000
醒时同交欢	xutjhyy#序55000
醉后各分散	zhgfsyw#序55000
永结无情游	yjwqydd#序55000
相期邈云汉	xqmyhmd#序55000
燕草如碧丝	ycrbsca#序55000
燕草如碧丝	ycrbsch#序55000
燕草如碧丝	ycrbsda#序55000
燕草如碧丝	ycrbsdh#序55000
燕草如碧丝	ycrbsha#序55000
燕草如碧丝	ycrbshh#序55000
秦桑低绿枝	qsdlvfm#序55000
秦桑低绿枝	qsdlvhm#序55000
当君怀归日	djhgrxo#序55000
当君怀归日	djhgrxr#序55000
当君怀归日	djhgrxa#序55000
当君怀归日	djhgrxu#序55000
是妾断肠时	uqdiurr#序55000
春风不相识	ifbxufy#序55000
春风不相识	ifbxuoy#序55000
春风不相识	ifbxury#序55000
何事入罗帏	hurlwrj#序55000
岱宗夫如何	dzfrhur#序55000
齐鲁青未了	qlqwlwa#序55000
齐鲁青未了	qlqwlwv#序55000
造化钟神秀	zhvuxzh#序55000
阴阳割昏晓	yyghxer#序55000
荡胸生层云	dxucyce#序55000
荡胸生层云	dxucycs#序55000
决眦入归鸟	jzrgndp#序55000
赠卫八处士	zwbiuba#序55000
赠卫八处士	zwbiubh#序55000
赠卫八处士	zwbiubu#序55000
人生不相见	rubxjpa#序55000
人生不相见	rubxjpe#序55000
人生不相见	rubxjpk#序55000
人生不相见	rubxjpu#序55000
动如参与商	drcyuld#序55000
动如参与商	drcyull#序55000
动如参与商	drcyulw#序55000
动如参与商	drcyuyd#序55000
动如参与商	drcyuyl#序55000
动如参与商	drcyuyw#序55000
