---config@码表分类=主码-7
---config@允许编辑=是
---config@码表别名=系统唐诗
渭川田家	wzirtmjwdb#序52000
焚烧杀掠	ffucualtlf#序52000
焚烧杀掠	ffucualtlt#序52000
几尽而去	jijlerqupt#序52000
送杨氏女	ssyhuinvza#序52000
送杨氏女	ssyhuinvzv#序52000
子夜秋歌	ziyeqqgeag#序52000
子夜秋歌	ziyeqqgevg#序52000
送陈章甫	ssifvhfuza#序52000
列缺霹雳	lpqtpilidy#序52000
丘峦崩摧	qqlrbgcvpf#序52000
丘峦崩摧	qqlrbgcvpt#序52000
洞天石扇	dstmuiujdh#序52000
洞天石扇	dstmuiujdy#序52000
訇然中开	hsrjvskdba#序52000
寄韩谏议	jihjjmyiby#序52000
时取一醉	uiquyizvry#序52000
使舫载之	uifhzdvird#序52000
遍饮坐者	bmylzovezl#序52000
古从军行	gucsjyxkui#序52000
危呼高哉	wzhugczddg#序52000
危呼高哉	wzhugczddk#序52000
朝避猛虎	icbimghuoh#序52000
朝避猛虎	icbimghuuh#序52000
朝避猛虎	icbimghuyh#序52000
夕避长蛇	xibivhuepi#序52000
磨牙吮血	moyauyxtmp#序52000
磨牙吮血	moyauyxtup#序52000
望月怀远	whythkyrwz#序52000
在狱咏蝉	zdyuysijti#序52000
在狱咏蝉	zdyuysijui#序52000
赠孟浩然	zgmghcrjbd#序52000
赠孟浩然	zgmghcrjbh#序52000
春宿左省	iysuzougfm#序52000
春宿左省	iysuzougfo#序52000
春宿左省	iysuzougom#序52000
春宿左省	iysuzougoo#序52000
春宿左省	iysuzougrm#序52000
春宿左省	iysuzougro#序52000
旅夜书怀	lvyeuuhkfx#序52000
登岳阳楼	dgytyhlbdm#序52000
山居秋暝	ujjuqqmklr#序52000
归嵩山作	gvssujzolr#序52000
酬张少府	ibvhucfuyg#序52000
过香积寺	goxxjisizt#序52000
汉江临泛	hjjxllfjdd#序52000
终南别业	vsnjbpyesl#序52000
留别王维	lqbpwhwzls#序52000
留别王维	lqbpwhwzts#序52000
蜀先主庙	uuxmvumnsg#序52000
没蕃故人	mzfjgurfdp#序52000
送人东游	ssrfdsybzd#序52000
灞上秋居	bauhqqjudu#序52000
楚江怀古	iujxhkgumu#序52000
楚江怀古	iujxhkgupu#序52000
除夜有怀	iuyeybhkex#序52000
章台夜思	vhtdyesilt#序52000
章台夜思	vhtdyesilx#序52000
行经华阴	xkjkhwylie#序52000
赠郭给事	zggogzuiba#序52000
咏怀古迹	yshkgujikz#序52000
晚次鄂州	wjcieevbrd#序52000
晚次鄂州	wjcieevbri#序52000
利州南渡	livbnjdudd#序52000
利州南渡	livbnjduhd#序52000
问刘十九	wflquijqkp#序52000
问刘十九	wflquijqmp#序52000
登乐游原	dgleybyrdi#序52000
逢入京使	fgrujkuizr#序52000
题金陵渡	tijllkduud#序52000
兰叶春葳蕤	ljyeiywzrvbc#序52000
桂华秋皎洁	gvhwqqjnjpmd#序52000
欣欣此生意	xlxlciugyijy#序52000
欣欣此生意	xlxlciugyiqy#序52000
自尔为佳节	zierwzjwjppc#序52000
谁知林栖者	uvvillqiveyl#序52000
闻风坐相悦	wffgzoxxytex#序52000
草木有本心	ccmuybbfxlcd#序52000
何求美人折	heqqmzrfverf#序52000
何求美人折	heqqmzrfvert#序52000
江南有丹桔	jxnjybdjjudm#序52000
经冬犹绿林	jkdsyblullsm#序52000
岂伊地气暖	qiyidiqinrur#序52000
自有岁寒心	ziybsvhjxlpd#序52000
可以荐佳客	keyijmjwkedb#序52000
奈何阻重深	ndhezuvsufdd#序52000
运命唯所遇	yymkwzsoyuzz#序52000
循环不可寻	xyhrbukexyic#序52000
循环不可寻	xyhrbukexyix#序52000
徒言树桃李	tuyjuutcliim#序52000
此木岂无阴	cimuqiwuylve#序52000
暮从碧山下	mucsbiujxwca#序52000
暮从碧山下	mucsbiujxwoa#序52000
暮从碧山下	mucsbiujxwra#序52000
山月随人归	ujytsvrfgvll#序52000
却顾所来径	qtgusoldjkqi#序52000
苍苍横翠微	chchhgcvwzci#序52000
相携及田家	xxxpjitmjwmb#序52000
童稚开荆扉	tsvikdjkfzlh#序52000
绿竹入幽径	lvvuruybjksi#序52000
青萝拂行衣	qklofuxkyifd#序52000
青萝拂行衣	qklofuxkyiod#序52000
青萝拂行衣	qklofuxkyiyd#序52000
欢言得所憩	hryjdesoqiyu#序52000
美酒聊共挥	mzjqlngshvdf#序52000
美酒聊共挥	mzjqlngshvdt#序52000
美酒聊共挥	mzjqlngshvyf#序52000
美酒聊共挥	mzjqlngshvyt#序52000
长歌吟松风	vhgeylssfgpj#序52000
曲尽河星稀	qujlhexkxilh#序52000
我醉君复乐	wozvjyfulepp#序52000
陶然共忘机	tcrjgswhjiem#序52000
花间一壶酒	hwjmyihujqcd#序52000
举杯邀明月	jubzycmkytdo#序52000
举杯邀明月	jubzycmkytdy#序52000
举杯邀明月	jubzycmkytdp#序52000
举杯邀明月	jubzycmkytxo#序52000
举杯邀明月	jubzycmkytxy#序52000
举杯邀明月	jubzycmkytxp#序52000
对影成三人	dvykigsjrfcp#序52000
对影成三人	dvykigsjrfyp#序52000
月既不解饮	ytjibujpylou#序52000
月既不解饮	ytjibujpylyu#序52000
月既不解饮	ytjibujpylpu#序52000
影徒随我身	yktusvwoufjp#序52000
暂伴月将影	zjbjytjxykoj#序52000
暂伴月将影	zjbjytjxykrj#序52000
行乐须及春	xklexujiiyif#序52000
