---config@码表分类=主码-5
---config@允许编辑=是
---config@码表别名=系统词组
就是	jquiyr#序60000
这个	vegezp#序60000
这个	vegezr#序60000
那个	nageep#序60000
那个	nageer#序60000
然后	rjhbdp#序60000
然后	rjhbhp#序60000
一个	yigeap#序60000
一个	yigear#序60000
给我	gzwosp#序60000
什么	ufmerp#序60000
一下	yixwaa#序60000
小薇	xnwzlc#序60000
你好	nihcrn#序60000
可以	keyidv#序60000
播放	bofhff#序60000
播放	bofhfw#序60000
播放	bofhtf#序60000
播放	bofhtw#序60000
我们	womfpr#序60000
没有	mzybdo#序60000
没有	mzybdu#序60000
没有	mzybdy#序60000
打开	dakdfa#序60000
打开	dakdta#序60000
现在	xmzdwt#序60000
现在	xmzdwu#序60000
好的	hcdenb#序60000
但是	djuirr#序60000
请按	qkanyf#序60000
请按	qkanyt#序60000
还是	hduizr#序60000
流量	lqlxdo#序60000
流量	lqlxdr#序60000
不是	buuiar#序60000
明天	mktmra#序60000
时候	uihbrr#序60000
还有	hdybzo#序60000
还有	hdybzu#序60000
还有	hdybzy#序60000
提醒	tixkfy#序60000
提醒	tixkty#序60000
怎么	zfmexp#序60000
帮我	bhwojp#序60000
因为	ylwzkd#序60000
套餐	tccjdl#序60000
今天	jltmra#序60000
都是	dbuivr#序60000
一首	yiubab#序60000
天气	tmqiap#序60000
天气	tmqiar#序60000
手机	ubjipm#序60000
之后	vihbdp#序60000
自己	zijipa#序60000
自己	zijipv#序60000
那你	nanier#序60000
你们	nimfrr#序60000
搜索	sbsofs#序60000
搜索	sbsofu#序60000
搜索	sbsots#序60000
搜索	sbsotu#序60000
是吧	uibark#序60000
觉得	jtdedi#序60000
觉得	jtdeji#序60000
我想	woxxpx#序60000
电话	dmhwly#序60000
那种	navseh#序60000
我的	wodepb#序60000
这边	vebmzz#序60000
他们	tamfrr#序60000
那我	nawoep#序60000
咱们	zjmfkr#序60000
给您	gznlsx#序60000
我是	wouipr#序60000
路线	luxmzs#序60000
我就	wojqpy#序60000
请问	qkwfyk#序60000
请问	qkwfym#序60000
多少	doucxx#序60000
我要	woycpx#序60000
需要	xuycyx#序60000
您好	nlhcxn#序60000
如果	rugonl#序60000
如果	rugont#序60000
您的	nldexb#序60000
你的	niderb#序60000
以后	yihbvp#序60000
也是	yeuigr#序60000
其实	qiuiab#序60000
零一	lkyiya#序60000
叫我	jnwokp#序60000
谢谢	xpxpyy#序60000
给你	gznisr#序60000
这种	vevszh#序60000
是吗	uimark#序60000
一些	yixpae#序60000
所以	soyihv#序60000
所以	soyijv#序60000
先生	xmugen#序60000
先生	xmugnn#序60000
温度	wfdudg#序60000
办理	bjlilw#序60000
保险	bcxmre#序60000
来一	ldyiaa#序60000
特别	tebpnd#序60000
晚上	wjuhrl#序60000
我说	wouopy#序60000
申请	ufqkly#序60000
歌曲	gequgl#序60000
号码	hcmaku#序60000
查询	iaxymy#序60000
再见	zdjmaa#序60000
再见	zdjmae#序60000
再见	zdjmak#序60000
再见	zdjmau#序60000
你是	niuirr#序60000
我我	wowopp#序60000
公司	gssibg#序60000
公司	gssibk#序60000
东西	dsxiaa#序60000
东西	dsxiqa#序60000
帮您	bhnljx#序60000
问题	wftiku#序60000
问题	wftimu#序60000
感觉	gjjtxd#序60000
感觉	gjjtxj#序60000
咨询	zixyky#序60000
时间	uijmrm#序60000
时间	uijmro#序60000
时间	uijmrr#序60000
反正	fjvgpa#序60000
知道	vidckz#序60000
知道	vidcuz#序60000
这样	veyhzm#序60000
已经	yijkas#序60000
已经	yijkvs#序60000
那么	nameep#序60000
服务	fuwuyw#序60000
或者	hovegl#序60000
短信	drxlur#序60000
业务	yewulw#序60000
一点	yidmav#序60000
小智	xnvilv#序60000
可能	kengds#序60000
真的	vfdeub#序60000
对对	dvdvcc#序60000
对对	dvdvcy#序60000
对对	dvdvyc#序60000
对对	dvdvyy#序60000
您这	nlvexz#序60000
对呀	dvyack#序60000
对呀	dvyayk#序60000
之前	viqmdb#序60000
笑话	xnhwvy#序60000
开始	kduian#序60000
而且	erqpal#序60000
音乐	ylytlp#序60000
你说	niuory#序60000
那您	nanlex#序60000
他就	tajqry#序60000
那这	naveez#序60000
你就	nijqry#序60000
里面	limmla#序60000
通话	tshwzy#序60000
那那	nanaee#序60000
宽带	krddbj#序60000
朋友	pgybyu#序60000
朋友	pgybyy#序60000
女士	nvuiaa#序60000
女士	nvuiah#序60000
女士	nvuiau#序60000
女士	nvuiva#序60000
女士	nvuivh#序60000
女士	nvuivu#序60000
分钟	ffvsbj#序60000
早上	zcuhrl#序60000
这些	vexpze#序60000
孩子	hdziza#序60000
孩子	hdzizv#序60000
两个	lxgeap#序60000
两个	lxgear#序60000
那些	naxpee#序60000
空调	kstnxy#序60000
直接	vijpaf#序60000
直接	vijpat#序60000
直接	vijphf#序60000
直接	vijpht#序60000
直接	vijpuf#序60000
直接	vijput#序60000
我都	wodbpv#序60000
不要	buycax#序60000
我在	wozdpt#序60000
我在	wozdpu#序60000
老师	lcuill#序60000
刚才	ghcdda#序60000
对吧	dvback#序60000
对吧	dvbayk#序60000
他的	taderb#序60000
导航	dchhcv#序60000
导航	dchhsv#序60000
哎呀	aiyakk#序60000
中国	vsgolk#序60000
应该	ykgdgy#序60000
查找	iavcmf#序60000
查找	iavcmt#序60000
好像	hcxxnr#序60000
这是	veuizr#序60000
好吗	hcmank#序60000
信息	xlxirz#序60000
情况	qkkxxd#序60000
进行	jlxkzi#序60000
下载	xwzdag#序60000
下载	xwzdai#序60000
电影	dmyklj#序60000
您是	nluixr#序60000
语音	yuylyl#序60000
后来	hbldpa#序60000
附近	fujlez#序60000
零零	lklkyy#序60000
你要	niycrx#序60000
五百	wubdaa#序60000
人家	rfjwpb#序60000
一样	yiyham#序60000
妈妈	mamann#序60000
哪个	nagekp#序60000
哪个	nagekr#序60000
如何	ruhenr#序60000
等于	dgyuva#序60000
关闭	grbibm#序60000
就说	jquoyy#序60000
当时	dhuixr#序60000
一百	yibdaa#序60000
最快	zvkkrx#序60000
了吗	lemaak#序60000
了吗	lemavk#序60000
说的	uodeyb#序60000
是的	uiderb#序60000
请您	qknlyx#序60000
学校	xtxndm#序60000
学校	xtxnzm#序60000
比较	bijnbi#序60000
好吧	hcbank#序60000
他说	tauory#序60000
怎样	zfyhxm#序60000
使用	uiysrk#序60000
嗯嗯	enenkk#序60000
它是	tauibr#序60000
工作	gszoar#序60000
不能	bungas#序60000
块钱	kkqmtj#序60000
北京	bzjkld#序60000
北京	bzjklw#序60000
都有	dbybvo#序60000
都有	dbybvu#序60000
都有	dbybvy#序60000
那边	nabmez#序60000
是谁	uiuzry#序60000
你在	nizdrt#序60000
你在	nizdru#序60000
很多	hfdoix#序60000
