---config@码表分类=主码-4
---config@允许编辑=是
---config@码表别名=低频简词
以后	yihb#序65000
知道	vidk#序65000
一点	yidm#序65000
那这	nave#序65000
最快	zvky#序65000
他说	tauo#序65000
客户	kehu#序65000
是有	uiyb#序65000
选择	xrze#序65000
七点	qidm#序65000
祝您	vunn#序65000
只有	viyb#序65000
你也	niye#序65000
那如	naru#序65000
几个	jige#序65000
调到	dcdk#序65000
直播	vibo#序65000
点儿	dmer#序65000
你都	nidb#序65000
还款	hlkr#序65000
玩儿	wjer#序65000
感谢	gjxx#序65000
找到	vkdk#序65000
男生	njug#序65000
她说	tauo#序65000
乘以	igyi#序65000
每年	mznm#序65000
全部	qrbu#序65000
小说	xcuo#序65000
大的	dade#序65000
返还	fjhr#序65000
疾病	jiby#序65000
五月	wuyt#序65000
考虑	kklv#序65000
部分	buff#序65000
两点	lddm#序65000
简单	jmdj#序65000
一遍	yibm#序65000
相关	xdgr#序65000
支付	vifu#序65000
十万	uiwj#序65000
决定	jtdy#序65000
是是	uiui#序65000
至少	viuk#序65000
一边	yibm#序65000
一毛	yimk#序65000
计算	jisr#序65000
拿着	nave#序65000
一款	yikr#序65000
早点	zkdm#序65000
激活	jiho#序65000
两万	ldwj#序65000
保护	bkhu#序65000
儿啊	eraa#序65000
九万	jqwj#序65000
是啥	uiua#序65000
我定	wody#序65000
走的	zbde#序65000
鸡蛋	jidj#序65000
我订	wody#序65000
见面	jmmm#序65000
有啊	ybaa#序65000
愉快	yuky#序65000
期待	qidl#序65000
一旦	yidj#序65000
接到	jxdk#序65000
七号	qihk#序65000
变更	bmgg#序65000
五元	wuyr#序65000
第三	disj#序65000
去吃	quii#序65000
进来	jnll#序65000
二的	erde#序65000
一到	yidk#序65000
是由	uiyb#序65000
十块	uiky#序65000
见到	jmdk#序65000
直到	vidk#序65000
有请	ybqy#序65000
你手	niub#序65000
减少	jmuk#序65000
试试	uiui#序65000
蓝色	ljse#序65000
室友	uiyb#序65000
地点	didm#序65000
冷冻	lgds#序65000
兴趣	xyqu#序65000
死的	side#序65000
举报	jubk#序65000
制度	vidu#序65000
豆腐	dbfu#序65000
是指	uivi#序65000
是去	uiqu#序65000
李白	libl#序65000
环比	hrbi#序65000
实施	uiui#序65000
就放	jqfh#序65000
把手	baub#序65000
招聘	vkpn#序65000
几岁	jisv#序65000
制造	vizk#序65000
风景	fgjy#序65000
执行	vixy#序65000
去一	quyi#序65000
手表	ubbc#序65000
是咱	uizj#序65000
全家	qrjw#序65000
销量	xcld#序65000
描述	mcuu#序65000
小号	xchk#序65000
呢可	neke#序65000
即可	jike#序65000
去世	quui#序65000
一兆	yivk#序65000
一口	yikb#序65000
我非	wofz#序65000
字母	zimu#序65000
是为	uiwz#序65000
歌名	gemy#序65000
金牌	jnpl#序65000
街道	jxdk#序65000
显得	xmde#序65000
原则	yrze#序65000
文明	wfmy#序65000
往下	whxw#序65000
是如	uiru#序65000
又说	ybuo#序65000
一大	yida#序65000
趋势	quui#序65000
一零	yily#序65000
加强	jwqd#序65000
再不	zlbu#序65000
点都	dmdb#序65000
闺女	gvnv#序65000
她没	tamz#序65000
礼拜	libl#序65000
多么	dome#序65000
反对	fjdv#序65000
蝴蝶	hudx#序65000
一道	yidk#序65000
四的	side#序65000
断了	drle#序65000
低的	dide#序65000
他做	tazo#序65000
位是	wzui#序65000
幽默	ybmo#序65000
个老	gelk#序65000
有病	ybby#序65000
不准	buvp#序65000
一想	yixd#序65000
是被	uibz#序65000
牙齿	yaii#序65000
就发	jqfa#序65000
蘑菇	mogu#序65000
长了	vhle#序65000
失去	uiqu#序65000
主叫	vujc#序65000
大道	dadk#序65000
少的	ukde#序65000
差别	iabx#序65000
带到	dldk#序65000
驾照	jwvk#序65000
见客	jmke#序65000
病毒	bydu#序65000
会上	hvuh#序65000
事实	uiui#序65000
个名	gemy#序65000
实时	uiui#序65000
要问	ykwf#序65000
交保	jcbk#序65000
大象	daxd#序65000
岁数	svuu#序65000
千多	qmdo#序65000
不分	buff#序65000
夫人	furf#序65000
指标	vibc#序65000
一项	yixd#序65000
天都	tmdb#序65000
奋斗	ffdb#序65000
五加	wujw#序65000
历代	lidl#序65000
指导	vidk#序65000
主持	vuii#序65000
二代	erdl#序65000
一小	yixc#序65000
流水	lquv#序65000
以井	yijy#序65000
减弱	jmro#序65000
季节	jijx#序65000
出没	iumo#序65000
相应	xdyy#序65000
远的	yrde#序65000
后不	hbbu#序65000
话要	hwyk#序65000
可好	kehk#序65000
得不	debu#序65000
唐朝	thik#序65000
钱不	qmbu#序65000
换的	hrde#序65000
基因	jiyn#序65000
性能	xyng#序65000
七度	qidu#序65000
海报	hlbk#序65000
摄影	ueyy#序65000
押金	yajn#序65000
会更	hvgg#序65000
再帮	zlbh#序65000
药品	ykpn#序65000
给予	jiyu#序65000
家具	jwju#序65000
起点	qidm#序65000
交到	jcdk#序65000
落在	lozl#序65000
亮灯	lddg#序65000
四度	sidu#序65000
借口	jxkb#序65000
球队	qqdv#序65000
肩膀	jmbh#序65000
市区	uiqu#序65000
是完	uiwj#序65000
渐渐	jmjm#序65000
元素	yrsu#序65000
保重	bkvs#序65000
就怕	jqpa#序65000
五到	wudk#序65000
几月	jiyt#序65000
依照	yivk#序65000
话剧	hwju#序65000
它说	tauo#序65000
是爱	uiai#序65000
这要	veyk#序65000
在不	zlbu#序65000
熬夜	aoye#序65000
余量	yuld#序65000
基于	jiyu#序65000
早早	zkzk#序65000
延迟	yjii#序65000
谈到	tjdk#序65000
批评	pipy#序65000
没我	mzwo#序65000
有说	ybuo#序65000
说还	uohl#序65000
依靠	yikk#序65000
亮点	lddm#序65000
蟋蟀	xiuy#序65000
家居	jwju#序65000
貌似	mksi#序65000
尸体	uiti#序65000
要回	ykhv#序65000
要播	ykbo#序65000
运用	ypys#序65000
也快	yeky#序65000
有开	ybkl#序65000
剧组	juzu#序65000
前就	qmjq#序65000
梦见	mgjm#序65000
表面	bcmm#序65000
吃你	iini#序65000
闲着	xmve#序65000
去和	quhe#序65000
小南	xcnj#序65000
判定	pjdy#序65000
草莓	ckmz#序65000
集合	jihe#序65000
厨师	iuui#序65000
车窗	ieid#序65000
要改	ykgl#序65000
配套	pztk#序65000
预设	yuue#序65000
减免	jmmm#序65000
深夜	ufye#序65000
点好	dmhk#序65000
红豆	hsdb#序65000
脂肪	vifh#序65000
一键	yijm#序65000
革命	gemy#序65000
写着	xxve#序65000
听得	tyde#序65000
盐城	yjig#序65000
友情	ybqy#序65000
点首	dmub#序65000
离线	lixm#序65000
纳入	naru#序65000
辅导	fudk#序65000
去老	qulk#序65000
传来	irll#序65000
点二	dmer#序65000
崇拜	isbl#序65000
福彩	fucl#序65000
都把	dbba#序65000
中最	vszv#序65000
沿着	yjve#序65000
难听	njty#序65000
担当	djdh#序65000
本周	bfvb#序65000
涨了	vhle#序65000
委托	wzto#序65000
预算	yusr#序65000
湘西	xdxi#序65000
也来	yell#序65000
消耗	xchk#序65000
家不	jwbu#序65000
凤姐	fgjx#序65000
是成	uiig#序65000
烟花	yjhw#序65000
不肯	bukf#序65000
套房	tkfh#序65000
泸州	luvb#序65000
告我	gkwo#序65000
时有	uiyb#序65000
拉开	lakl#序65000
起到	qidk#序65000
想多	xddo#序65000
自卑	zibz#序65000
石油	uiyb#序65000
成一	igyi#序65000
是北	uibz#序65000
情书	qyuu#序65000
会到	hvdk#序65000
杀毒	uadu#序65000
意向	yixd#序65000
读了	dule#序65000
专注	vrvu#序65000
露出	luiu#序65000
出厂	iuih#序65000
夜夜	yeye#序65000
里了	lile#序65000
倾城	qyig#序65000
核桃	hetk#序65000
练字	lmzi#序65000
佳句	jwju#序65000
须要	xuyk#序65000
捡到	jmdk#序65000
军队	jpdv#序65000
前边	qmbm#序65000
站到	vjdk#序65000
罗文	lowf#序65000
到咱	dkzj#序65000
市有	uiyb#序65000
