---config@码表分类=主码-6
---config@允许编辑=是
---config@码表别名=系统简词
渭川田家	witjdb#序55000
焚烧杀掠	fuulmf#序55000
几尽而去	jjeqpt#序55000
送杨氏女	syunzv#序55000
子夜秋歌	zyqgva#序55000
送陈章甫	sivfza#序55000
列缺霹雳	lqpldy#序55000
丘峦崩摧	qlbcpf#序55000
洞天石扇	dtuudh#序55000
訇然中开	hrvkba#序55000
寄韩谏议	jhjyby#序55000
时取一醉	uqyzoy#序55000
使舫载之	ufzvrd#序55000
遍饮坐者	byzvzl#序55000
古从军行	gcjxui#序55000
危呼高哉	whgzdu#序55000
朝避猛虎	ibmhuh#序55000
夕避长蛇	xbvupi#序55000
磨牙吮血	myuxgp#序55000
望月怀远	wyhywz#序55000
在狱咏蝉	zyyiui#序55000
赠孟浩然	zmhrkp#序55000
春宿左省	iszufu#序55000
旅夜书怀	lyuhfx#序55000
登岳阳楼	dyylvm#序55000
山居秋暝	ujqmlo#序55000
归嵩山作	gsuzlr#序55000
酬张少府	ivufyg#序55000
过香积寺	gxjszt#序55000
汉江临泛	hjlfdd#序55000
终南别业	vnbysl#序55000
留别王维	lbwwps#序55000
蜀先主庙	uxvmsg#序55000
没蕃故人	mfgrdp#序55000
送人东游	srdyzd#序55000
灞上秋居	buqjdu#序55000
楚江怀古	ijhgmu#序55000
除夜有怀	iyyhex#序55000
章台夜思	vtyslt#序55000
行经华阴	xjhyie#序55000
赠郭给事	zgguka#序55000
咏怀古迹	yhgjkz#序55000
晚次鄂州	wcevod#序55000
利州南渡	lvndhd#序55000
问刘十九	wlujmp#序55000
登乐游原	dlyyvi#序55000
逢入京使	frjuzr#序55000
题金陵渡	tjldod#序55000
兰叶春葳蕤	lyiwrbc#序55000
桂华秋皎洁	ghqjjmd#序55000
欣欣此生意	xxcuyjl#序55000
自尔为佳节	zewjjpc#序55000
谁知林栖者	uvlqvyl#序55000
闻风坐相悦	wfzxymx#序55000
草木有本心	cmybxcd#序55000
何求美人折	hqmrvrf#序55000
江南有丹桔	jnydjdm#序55000
经冬犹绿林	jdyllsm#序55000
岂伊地气暖	qydqneo#序55000
