---config@码表分类=主码-7
---config@允许编辑=是
---config@码表别名=系统唐诗
渭川田家	wzirtmjwdb#序52000
焚烧杀掠	ffukualtmf#序52000
几尽而去	jijnerqupt#序52000
送杨氏女	ssyhuinvzv#序52000
子夜秋歌	ziyeqqgeva#序52000
送陈章甫	ssifvhfuza#序52000
列缺霹雳	lxqtpilidy#序52000
丘峦崩摧	qqlrbgcvpf#序52000
洞天石扇	dstmuiujdh#序52000
訇然中开	hsrjvsklba#序52000
寄韩谏议	jihjjmyiby#序52000
时取一醉	uiquyizvoy#序52000
使舫载之	uifhzlvird#序52000
遍饮坐者	bmynzovezl#序52000
古从军行	gucsjpxyui#序52000
危呼高哉	wzhugkzldu#序52000
朝避猛虎	ikbimghuuh#序52000
夕避长蛇	xibivhuepi#序52000
磨牙吮血	moyaupxtgp#序52000
望月怀远	whythyyrwz#序52000
在狱咏蝉	zlyuysijui#序52000
赠孟浩然	zgmghkrjkp#序52000
春宿左省	ipsuzougfu#序52000
旅夜书怀	lvyeuuhyfx#序52000
登岳阳楼	dgytyhlbvm#序52000
山居秋暝	ujjuqqmylo#序52000
归嵩山作	gvssujzolr#序52000
酬张少府	ibvhukfuyg#序52000
过香积寺	goxdjisizt#序52000
汉江临泛	hjjdlnfjdd#序52000
终南别业	vsnjbxyesl#序52000
留别王维	lqbxwhwzps#序52000
蜀先主庙	uuxmvumcsg#序52000
没蕃故人	mzfjgurfdp#序52000
送人东游	ssrfdsybzd#序52000
灞上秋居	bauhqqjudu#序52000
楚江怀古	iujdhygumu#序52000
除夜有怀	iuyeybhyex#序52000
章台夜思	vhtlyesilt#序52000
行经华阴	xyjyhwynie#序52000
赠郭给事	zggogzuika#序52000
咏怀古迹	yshygujikz#序52000
晚次鄂州	wjcieevbod#序52000
利州南渡	livbnjduhd#序52000
问刘十九	wflquijqmp#序52000
登乐游原	dgleybyrvi#序52000
逢入京使	fgrujyuizr#序52000
题金陵渡	tijnlyduod#序52000
兰叶春葳蕤	ljyeipwzrvbc#序52000
桂华秋皎洁	gvhwqqjcjxmd#序52000
欣欣此生意	xnxnciugyijl#序52000
自尔为佳节	zierwzjwjxpc#序52000
谁知林栖者	uvvilnqiveyl#序52000
闻风坐相悦	wffgzoxdytmx#序52000
草木有本心	ckmuybbfxncd#序52000
何求美人折	heqqmzrfverf#序52000
江南有丹桔	jdnjybdjjudm#序52000
经冬犹绿林	jydsyblulnsm#序52000
岂伊地气暖	qiyidiqinreo#序52000
自有岁寒心	ziybsvhjxnpd#序52000
可以荐佳客	keyijmjwkedb#序52000
奈何阻重深	nlhezuvsufdd#序52000
运命唯所遇	ypmywzsoyuzz#序52000
循环不可寻	xphrbukexpie#序52000
徒言树桃李	tuyjuutkliim#序52000
此木岂无阴	cimuqiwuynve#序52000
暮从碧山下	mucsbiujxwca#序52000
