---config@码表分类=主码-5
---config@允许编辑=是
---config@码表别名=系统词组
就是	jquiwo#序60000
这个	vegezr#序60000
那个	nagevr#序60000
然后	rjhbpp#序60000
一个	yigear#序60000
给我	gzwosp#序60000
什么	ufmerp#序60000
一下	yixwaa#序60000
小薇	xcwzlc#序60000
你好	nihkrn#序60000
可以	keyidv#序60000
播放	bofhff#序60000
我们	womfpr#序60000
没有	mzybdu#序60000
打开	daklfa#序60000
现在	xmzlwu#序60000
好的	hkdenb#序60000
但是	djuiro#序60000
请按	qyanyf#序60000
还是	hluizo#序60000
流量	lqlddd#序60000
流量	lqlddo#序60000
不是	buuiao#序60000
明天	mytmoa#序60000
时候	uihbor#序60000
还有	hlybzu#序60000
提醒	tixyfy#序60000
怎么	zfmevp#序60000
帮我	bhwofp#序60000
因为	ynwzkd#序60000
套餐	tkcjdl#序60000
今天	jntmra#序60000
都是	dbuilo#序60000
一首	yiubab#序60000
天气	tmqiap#序60000
手机	ubjipm#序60000
之后	vihbdp#序60000
自己	zijipv#序60000
那你	nanivr#序60000
你们	nimfrr#序60000
搜索	sbsofu#序60000
是吧	uibaok#序60000
觉得	jtdexi#序60000
我想	woxdpm#序60000
电话	dmhwly#序60000
那种	navsvh#序60000
我的	wodepb#序60000
这边	vebmzz#序60000
他们	tamfrr#序60000
那我	nawovp#序60000
咱们	zjmfkr#序60000
给您	gznnsr#序60000
我是	wouipo#序60000
路线	luxmzs#序60000
我就	wojqpw#序60000
请问	qywfym#序60000
多少	doukxx#序60000
我要	woykpx#序60000
需要	xuykyx#序60000
您好	nnhkrn#序60000
如果	rugonl#序60000
您的	nnderb#序60000
你的	niderb#序60000
以后	yihbvp#序60000
也是	yeuivo#序60000
其实	qiuiqb#序60000
零一	lyyiya#序60000
叫我	jcwokp#序60000
谢谢	xxxxyy#序60000
给你	gznisr#序60000
这种	vevszh#序60000
是吗	uimaok#序60000
一些	yixxav#序60000
所以	soyipv#序60000
先生	xmugnp#序60000
温度	wfdudg#序60000
办理	bjlilw#序60000
保险	bkxmre#序60000
来一	llyiaa#序60000
特别	tebxnk#序60000
晚上	wjuhol#序60000
我说	wouopy#序60000
申请	ufqyly#序60000
歌曲	gequal#序60000
号码	hkmaku#序60000
查询	iaxpmy#序60000
再见	zljmak#序60000
你是	niuiro#序60000
我我	wowopp#序60000
公司	gssibv#序60000
东西	dsxiaa#序60000
帮您	bhnnfr#序60000
问题	wftimo#序60000
感觉	gjjtwx#序60000
感觉	gjjtxx#序60000
咨询	zixpdy#序60000
时间	uijmom#序60000
反正	fjvgpa#序60000
知道	vidkuz#序60000
这样	veyhzm#序60000
已经	yijyvs#序60000
那么	namevp#序60000
服务	fuwuow#序60000
或者	hovegl#序60000
短信	drxnur#序60000
业务	yewulw#序60000
一点	yidmal#序60000
小智	xcvilu#序60000
可能	kengds#序60000
真的	vfdeub#序60000
对对	dvdvyy#序60000
您这	nnverz#序60000
对呀	dvyayk#序60000
之前	viqmdb#序60000
笑话	xchwvy#序60000
开始	kluian#序60000
而且	erqxal#序60000
音乐	ynytlp#序60000
你说	niuory#序60000
那您	nannvr#序60000
他就	tajqrw#序60000
那这	navevz#序60000
你就	nijqrw#序60000
里面	limmla#序60000
通话	tshwzy#序60000
那那	nanavv#序60000
宽带	krdlbf#序60000
朋友	pgybou#序60000
女士	nvuivu#序60000
分钟	ffvsbj#序60000
早上	zkuhol#序60000
这些	vexxzv#序60000
孩子	hlzizv#序60000
两个	ldgear#序60000
那些	naxxvv#序60000
空调	kstcby#序60000
直接	vijxuf#序60000
我都	wodbpl#序60000
不要	buykax#序60000
我在	wozlpu#序60000
老师	lkuill#序60000
刚才	ghclka#序60000
对吧	dvbayk#序60000
他的	taderb#序60000
导航	dkhhsv#序60000
哎呀	aiyakk#序60000
中国	vsgolk#序60000
应该	yyglgy#序60000
查找	iavkmf#序60000
好像	hkxdnr#序60000
这是	veuizo#序60000
好吗	hkmank#序60000
信息	xnxirz#序60000
情况	qykdxd#序60000
进行	jnxyzi#序60000
下载	xwzlau#序60000
电影	dmyylo#序60000
您是	nnuiro#序60000
语音	yuynyl#序60000
后来	hbllpa#序60000
附近	fujnez#序60000
零零	lylyyy#序60000
你要	niykrx#序60000
五百	wublaa#序60000
人家	rfjwpb#序60000
一样	yiyham#序60000
妈妈	mamann#序60000
