一万	yiwj
一个	yige
一些	yixp
一代	yidd
一份	yiff
一倍	yibw
一共	yigs
一切	yiqp
一列	yilp
一则	yize
一别	yibp
一匹	yipi
一口	yikz
一台	yitd
一号	yihc
一名	yimk
一周	yivz
一品	yipb
一回	yihv
一圈	yiqr
一块	yikk
一堆	yidv
一夜	yiye
一天	yitm
一头	yitz
一套	yitc
一宗	yizs
一定	yidk
一家	yijx
一封	yifg
一层	yicg
一届	yijp
一岁	yisv
一帮	yibh
一幕	yimu
一并	yibk
一度	yidu
一座	yizo
一张	yivh
一律	yilv
一愣	yilg
一所	yiso
一批	yipi
一把	yiba
一抹	yimo
一拽	yivk
一挡	yidh
一排	yipd
一斤	yijb
一旁	yiph
一日	yiri
一旦	yidj
一晃	yihl
一曲	yiqu
一月	yiyt
一本	yibf
一朵	yido
一条	yitn
一枚	yimw
一枪	yiql
一样	yiyh
一根	yigf
一概	yigd
一次	yici
一款	yikr
一步	yibu
一段	yidr
一点	yidm
一环	yihr
一瓶	yipk
一番	yifj
一百	yibd
一盆	yipf
一盒	yihe
一盘	yipj
一看	yikj
一瞥	yipp
一瞬	yiuy
一种	yivs
一窝	yiwo
一笑	yixn
一笔	yibi
一等	yidg
一篇	yipm
一簇	yicu
一类	yilw
一线	yixm
一群	yiqy
一致	yivi
一般	yibj
一色	yise
一行	yihh
一览	yilj
一说	yiuo
一贯	yigr
一起	yiqi
一趟	yith
一路	yilu
一身	yiuf
一辆	yill
一遍	yibm
一道	yidc
一门	yimf
一阵	yivf
一霎	yiua
一顿	yidy
一颗	yike
一餐	yicj
一首	yiuz
七万	qiwj
七个	qige
七千	qiqm
七天	qitm
七寸	qicy
七岁	qisv
七律	qilv
七折	qive
七月	qiyt
七百	qibd
万一	wjyi
万丈	wjvh
万两	wjll
万代	wjdd
万众	wjvs
万元	wjyr
万分	wjff
万千	wjqm
万吨	wjdy
万岁	wjsv
万幸	wjxk
万恶	wjee
万民	wjmb
万福	wjfu
万端	wjdr
万米	wjmi
万能	wjng
万贯	wjgr
万里	wjli
万金	wjjb
万难	wjnj
丈人	vhrf
丈量	vhll
三七	sjqi
三万	sjwj
三个	sjge
三九	sjjq
三亚	sjya
三人	sjrf
三代	sjdd
三八	sjba
三分	sjff
三匹	sjpi
三十	sjui
三千	sjqm
三周	sjvz
三围	sjww
三国	sjgo
三天	sjtm
三套	sjtc
三岁	sjsv
三峡	sjxx
三张	sjvh
三思	sjsi
三排	sjpd
三星	sjxk
三更	sjgg
三月	sjyt
三本	sjbf
三枚	sjmw
三次	sjci
三流	sjlq
三点	sjdm
三瓶	sjpk
三百	sjbd
三盆	sjpf
三盒	sjhe
三盘	sjpj
三种	sjvs
三篇	sjpm
三级	sjji
三角	sjjn
三辆	sjll
三通	sjts
三遍	sjbm
三门	sjmf
三陪	sjpw
上上	uhuh
上下	uhxx
上个	uhge
上了	uhle
上交	uhjn
上传	uhir
上体	uhti
上冲	uhis
上前	uhqm
上升	uhug
上午	uhwu
上去	uhqu
上古	uhgu
上句	uhju
上台	uhtd
上司	uhsi
上吊	uhdn
上周	uhvz
上回	uhhv
上图	uhtu
上坟	uhff
上坡	uhpo
上天	uhtm
上头	uhtz
上学	uhxt
上官	uhgr
上宾	uhbb
上将	uhjl
上层	uhcg
上屏	uhpk
上山	uhuj
上岗	uhgh
上岸	uhan
上市	uhui
上帝	uhdi
上年	uhnm
上床	uhil
上座	uhzo
上当	uhdh
上手	uhuz
上扬	uhyh
上报	uhbc
上排	uhpd
上操	uhcc
上攻	uhgs
上文	uhwf
上方	uhfh
上旬	uhxy
上映	uhyk
上月	uhyt
上期	uhqi
上来	uhld
上校	uhxn
上桌	uhvo
上楼	uhlz
上榜	uhbh
上次	uhci
上流	uhlq
上浮	uhfu
上海	uhhd
上涨	uhvh
上游	uhyz
上演	uhyj
上火	uhho
上班	uhbj
上瘾	uhyb
上百	uhbd
上税	uhuv
上空	uhks
上端	uhdr
