---config@码表分类=主码-3
---config@允许编辑=否
---config@码表别名=系统英文
a	a#序10000
c	c#序10000
d	d#序10000
h	h#序10000
i	i#序10000
m	m#序10000
o	o#序10000
p	p#序10000
t	t#序10000
u	u#序10000
v	v#序10000
w	w#序10000
x	x#序10000
ab	ab#序10000
ac	ac#序10000
ad	ad#序10000
ag	ag#序10000
ah	ah#序10000
ai	ai#序10000
ak	ak#序10000
am	am#序10000
an	an#序10000
as	as#序10000
at	at#序10000
aw	aw#序10000
ax	ax#序10000
ba	ba#序10000
be	be#序10000
bi	bi#序10000
bp	bp#序10000
bt	bt#序10000
bx	bx#序10000
by	by#序10000
cb	cb#序10000
cc	cc#序10000
cd	cd#序10000
ce	ce#序10000
cg	cg#序10000
co	co#序10000
cp	cp#序10000
cs	cs#序10000
ct	ct#序10000
cv	cv#序10000
da	da#序10000
db	db#序10000
dc	dc#序10000
de	de#序10000
dm	dm#序10000
do	do#序10000
dr	dr#序10000
dw	dw#序10000
dy	dy#序10000
ea	ea#序10000
ed	ed#序10000
eh	eh#序10000
ek	ek#序10000
el	el#序10000
em	em#序10000
en	en#序10000
eo	eo#序10000
er	er#序10000
et	et#序10000
ex	ex#序10000
fa	fa#序10000
fb	fb#序10000
fe	fe#序10000
fh	fh#序10000
fi	fi#序10000
fl	fl#序10000
fm	fm#序10000
ft	ft#序10000
fx	fx#序10000
fy	fy#序10000
ga	ga#序10000
gi	gi#序10000
go	go#序10000
gq	gq#序10000
gt	gt#序10000
ha	ha#序10000
he	he#序10000
hg	hg#序10000
hi	hi#序10000
hj	hj#序10000
hl	hl#序10000
ho	ho#序10000
hp	hp#序10000
hy	hy#序10000
hz	hz#序10000
ib	ib#序10000
ic	ic#序10000
id	id#序10000
if	if#序10000
ig	ig#序10000
in	in#序10000
io	io#序10000
ip	ip#序10000
is	is#序10000
it	it#序10000
iu	iu#序10000
iv	iv#序10000
jd	jd#序10000
je	je#序10000
jg	jg#序10000
jl	jl#序10000
jn	jn#序10000
jo	jo#序10000
ju	ju#序10000
jv	jv#序10000
ka	ka#序10000
kc	kc#序10000
kd	kd#序10000
kg	kg#序10000
kk	kk#序10000
ko	ko#序10000
ks	ks#序10000
la	la#序10000
ld	ld#序10000
le	le#序10000
lg	lg#序10000
lh	lh#序10000
ln	ln#序10000
lo	lo#序10000
lp	lp#序10000
lr	lr#序10000
lt	lt#序10000
lx	lx#序10000
lz	lz#序10000
ma	ma#序10000
mb	mb#序10000
me	me#序10000
mf	mf#序10000
mi	mi#序10000
mj	mj#序10000
mm	mm#序10000
ms	ms#序10000
mu	mu#序10000
mx	mx#序10000
my	my#序10000
na	na#序10000
nc	nc#序10000
nd	nd#序10000
ne	ne#序10000
nj	nj#序10000
nm	nm#序10000
no	no#序10000
ns	ns#序10000
nu	nu#序10000
nz	nz#序10000
oa	oa#序10000
ob	ob#序10000
od	od#序10000
oe	oe#序10000
of	of#序10000
oh	oh#序10000
oj	oj#序10000
ok	ok#序10000
ol	ol#序10000
on	on#序10000
oo	oo#序10000
op	op#序10000
or	or#序10000
os	os#序10000
ou	ou#序10000
ow	ow#序10000
ox	ox#序10000
pa	pa#序10000
pb	pb#序10000
pc	pc#序10000
pd	pd#序10000
pe	pe#序10000
ph	ph#序10000
pi	pi#序10000
pm	pm#序10000
po	po#序10000
pr	pr#序10000
ps	ps#序10000
qb	qb#序10000
qi	qi#序10000
qn	qn#序10000
qp	qp#序10000
qq	qq#序10000
qr	qr#序10000
ra	ra#序10000
re	re#序10000
rf	rf#序10000
ri	ri#序10000
rj	rj#序10000
rm	rm#序10000
rp	rp#序10000
rq	rq#序10000
rs	rs#序10000
ru	ru#序10000
rv	rv#序10000
rx	rx#序10000
se	se#序10000
sf	sf#序10000
si	si#序10000
sm	sm#序10000
so	so#序10000
ss	ss#序10000
sw	sw#序10000
sx	sx#序10000
ta	ta#序10000
te	te#序10000
ti	ti#序10000
tl	tl#序10000
to	to#序10000
tu	tu#序10000
tv	tv#序10000
tx	tx#序10000
uc	uc#序10000
ue	ue#序10000
uh	uh#序10000
ui	ui#序10000
uk	uk#序10000
ul	ul#序10000
un	un#序10000
up	up#序10000
ur	ur#序10000
us	us#序10000
ut	ut#序10000
uv	uv#序10000
uw	uw#序10000
vb	vb#序10000
vj	vj#序10000
vl	vl#序10000
vm	vm#序10000
vp	vp#序10000
vr	vr#序10000
vs	vs#序10000
vt	vt#序10000
vw	vw#序10000
wa	wa#序10000
wb	wb#序10000
we	we#序10000
wi	wi#序10000
wo	wo#序10000
wv	wv#序10000
wx	wx#序10000
wy	wy#序10000
xe	xe#序10000
xf	xf#序10000
xi	xi#序10000
xl	xl#序10000
xp	xp#序10000
xr	xr#序10000
xu	xu#序10000
xv	xv#序10000
xw	xw#序10000
ya	ya#序10000
yb	yb#序10000
ye	ye#序10000
yh	yh#序10000
yi	yi#序10000
ym	ym#序10000
yo	yo#序10000
yt	yt#序10000
zg	zg#序10000
zi	zi#序10000
zn	zn#序10000
zs	zs#序10000
zu	zu#序10000
aah	aah#序10000
aal	aal#序10000
aar	aar#序10000
aau	aau#序10000
aba	aba#序10000
abb	abb#序10000
abc	abc#序10000
abd	abd#序10000
abe	abe#序10000
abm	abm#序10000
abn	abn#序10000
abo	abo#序10000
abu	abu#序10000
aby	aby#序10000
aca	aca#序10000
acd	acd#序10000
ace	ace#序10000
ack	ack#序10000
acl	acl#序10000
acs	acs#序10000
act	act#序10000
acu	acu#序10000
ada	ada#序10000
adb	adb#序10000
add	add#序10000
ade	ade#序10000
adh	adh#序10000
adi	adi#序10000
adm	adm#序10000
adn	adn#序10000
ado	ado#序10000
adz	adz#序10000
aeg	aeg#序10000
aei	aei#序10000
aep	aep#序10000
aew	aew#序10000
afc	afc#序10000
afl	afl#序10000
afs	afs#序10000
aft	aft#序10000
aga	aga#序10000
age	age#序10000
agi	agi#序10000
ago	ago#序10000
agp	agp#序10000
ags	ags#序10000
aha	aha#序10000
ahd	ahd#序10000
ahf	ahf#序10000
ahg	ahg#序10000
ahl	ahl#序10000
aia	aia#序10000
aib	aib#序10000
aic	aic#序10000
aid	aid#序10000
aif	aif#序10000
aih	aih#序10000
ail	ail#序10000
aim	aim#序10000
ain	ain#序10000
air	air#序10000
ait	ait#序10000
aja	aja#序10000
ajc	ajc#序10000
ala	ala#序10000
alb	alb#序10000
ale	ale#序10000
alf	alf#序10000
alg	alg#序10000
all	all#序10000
alm	alm#序10000
alt	alt#序10000
alu	alu#序10000
ama	ama#序10000
amd	amd#序10000
amg	amg#序10000
ami	ami#序10000
amm	amm#序10000
amn	amn#序10000
amr	amr#序10000
amt	amt#序10000
amu	amu#序10000
amy	amy#序10000
ana	ana#序10000
anc	anc#序10000
and	and#序10000
ane	ane#序10000
ang	ang#序10000
ani	ani#序10000
ann	ann#序10000
any	any#序10000
aob	aob#序10000
aoc	aoc#序10000
aok	aok#序10000
aor	aor#序10000
apa	apa#序10000
apb	apb#序10000
apf	apf#序10000
api	api#序10000
apl	apl#序10000
apo	apo#序10000
aps	aps#序10000
apt	apt#序10000
arc	arc#序10000
