一万	yiwjaaap#序20000
一个	yigeaarl#序20000
一些	yixpaave#序20000
一代	yiddaary#序20000
一份	yiffaard#序20000
一倍	yibwaark#序20000
一共	yigsaacb#序20000
一切	yiqpaaqd#序20000
一列	yilpaadd#序20000
一则	yizeaakd#序20000
一别	yibpaakd#序20000
一匹	yipiaake#序20000
一口	yikzaala#序20000
一台	yitdaask#序20000
一号	yihcaakv#序20000
一名	yimkaaxk#序20000
一周	yivzaakk#序20000
一品	yipbaakk#序20000
一回	yihvaakk#序20000
一圈	yiqraakv#序20000
一块	yikkaatg#序20000
一堆	yidvaatf#序20000
一夜	yiyeaawn#序20000
一天	yitmaaad#序20000
一头	yitzaadd#序20000
一套	yitcaads#序20000
一宗	yizsaabx#序20000
一定	yidkaabr#序20000
一家	yijxaabu#序20000
一封	yifgaatc#序20000
一层	yicgaaus#序20000
一届	yijpaauy#序20000
一岁	yisvaaex#序20000
一帮	yibhaafj#序20000
一幕	yimuaacj#序20000
一并	yibkaabk#序20000
一度	yiduaagy#序20000
一座	yizoaagt#序20000
一张	yivhaagi#序20000
一律	yilvaaiy#序20000
一愣	yilgaaxf#序20000
一所	yisoaapj#序20000
一批	yipiaafb#序20000
一把	yibaaafb#序20000
一抹	yimoaafm#序20000
一拽	yivkaafy#序20000
一挡	yidhaafe#序20000
一排	yipdaaff#序20000
一斤	yijbaapl#序20000
一旁	yiphaawf#序20000
一日	yiriaaka#序20000
一旦	yidjaaoa#序20000
一晃	yihlaaow#序20000
一曲	yiquaala#序20000
一月	yiytaaka#序20000
一本	yibfaaaa#序20000
一朵	yidoaajm#序20000
一条	yitnaawm#序20000
一枚	yimwaamw#序20000
一枪	yiqlaamv#序20000
一样	yiyhaamy#序20000
一根	yigfaamg#序20000
一概	yigdaamv#序20000
一次	yiciaadr#序20000
一款	yikraaur#序20000
一步	yibuaavp#序20000
一段	yidraapy#序20000
一点	yidmaalh#序20000
一环	yihraawb#序20000
一瓶	yipkaabw#序20000
一番	yifjaapt#序20000
一百	yibdaaab#序20000
一盆	yipfaabm#序20000
一盒	yiheaarm#序20000
一盘	yipjaavm#序20000
一看	yikjaauo#序20000
一瞥	yippaado#序20000
一瞬	yiuyaaol#序20000
一种	yivsaahv#序20000
一窝	yiwoaabn#序20000
一笑	yixnaavy#序20000
一笔	yibiaavm#序20000
一等	yidgaavc#序20000
一篇	yipmaavc#序20000
一簇	yicuaavu#序20000
一类	yilwaamd#序20000
一线	yixmaasj#序20000
一群	yiqyaayy#序20000
一致	yiviaaaw#序20000
一般	yibjaavy#序20000
一色	yiseaadb#序20000
一行	yihhaaii#序20000
一览	yiljaale#序20000
一说	yiuoaaye#序20000
一贯	yigraavr#序20000
一起	yiqiaatj#序20000
一趟	yithaatk#序20000
一路	yiluaazk#序20000
一身	yiufaapp#序20000
一辆	yillaail#序20000
一遍	yibmaazc#序20000
一道	yidcaazz#序20000
一门	yimfaadv#序20000
一阵	yivfaaei#序20000
一霎	yiuaaayn#序20000
一顿	yidyaatr#序20000
一颗	yikeaagr#序20000
一餐	yicjaall#序20000
一首	yiuzaabz#序20000
七万	qiwjavap#序20000
七个	qigeavrl#序20000
七千	qiqmavpu#序20000
七天	qitmavad#序20000
七寸	qicyavad#序20000
七岁	qisvavex#序20000
七律	qilvaviy#序20000
七折	qiveavfj#序20000
七月	qiytavka#序20000
七百	qibdavab#序20000
万一	wjyiapaa#序20000
万丈	wjvhapan#序20000
万两	wjllapad#序20000
万代	wjddapry#序20000
万众	wjvsaprr#序20000
万元	wjyrapee#序20000
万分	wjffapbd#序20000
万千	wjqmappu#序20000
万吨	wjdyapkt#序20000
万岁	wjsvapex#序20000
万幸	wjxkaptg#序20000
万恶	wjeeapyx#序20000
万民	wjmbapvv#序20000
