---config@码表分类=主码-4
---config@允许编辑=是
---config@码表别名=低频简词
提醒	tixy#序65000
以后	yihb#序65000
先生	xmug#序65000
那您	nann#序65000
他说	tauo#序65000
使用	uiys#序65000
一次	yici#序65000
气候	qihb#序65000
属于	uuyu#序65000
直播	vibo#序65000
六百	lqbl#序65000
是啊	uiaa#序65000
感谢	gjxx#序65000
找到	vkdk#序65000
她说	tauo#序65000
全部	qrbu#序65000
大的	dade#序65000
六十	lqui#序65000
明白	mybl#序65000
机会	jihv#序65000
疾病	jiby#序65000
地图	ditu#序65000
部分	buff#序65000
由于	ybyu#序65000
简单	jmdj#序65000
七八	qiba#序65000
心情	xnqy#序65000
十万	uiwj#序65000
回到	hvdk#序65000
饭店	fjdm#序65000
演的	yjde#序65000
聚会	juhv#序65000
满意	mjyi#序65000
面的	mmde#序65000
会下	hvxw#序65000
决定	jtdy#序65000
师傅	uifu#序65000
有雨	ybyu#序65000
生日	ugri#序65000
至少	viuk#序65000
你听	nity#序65000
小姐	xcjx#序65000
路上	luuh#序65000
是最	uizv#序65000
要看	ykkj#序65000
对象	dvxd#序65000
输入	uuru#序65000
假如	jwru#序65000
营养	yyyh#序65000
九三	jqsj#序65000
随时	svui#序65000
行吧	xyba#序65000
是用	uiys#序65000
链接	lmjx#序65000
收取	ubqu#序65000
鸡巴	jiba#序65000
两万	ldwj#序65000
儿啊	eraa#序65000
九万	jqwj#序65000
是啥	uiua#序65000
我定	wody#序65000
称呼	ighu#序65000
加入	jwru#序65000
连接	lmjx#序65000
长期	ihqi#序65000
我订	wody#序65000
有啊	ybaa#序65000
汉语	hjyu#序65000
愉快	yuky#序65000
期待	qidl#序65000
一旦	yidj#序65000
七号	qihk#序65000
固定	gudy#序65000
一部	yibu#序65000
联网	lmwh#序65000
是会	uihv#序65000
有请	ybqy#序65000
韩语	hjyu#序65000
食堂	uith#序65000
一路	yilu#序65000
四九	sijq#序65000
你手	niub#序65000
版本	bjbf#序65000
在他	zlta#序65000
旅行	lvxy#序65000
贵州	gvvb#序65000
我心	woxn#序65000
这有	veyb#序65000
工程	gsig#序65000
是对	uidv#序65000
平均	pyjp#序65000
没说	mzuo#序65000
我比	wobi#序65000
如此	ruci#序65000
举报	jubk#序65000
制度	vidu#序65000
是去	uiqu#序65000
