---config@码表分类=主码-7
---config@允许编辑=是
---config@码表别名=系统唐诗
渭川田家	wzirtmjwdb#序52000
焚烧杀掠	ffukualthf#序52000
焚烧杀掠	ffukualtht#序52000
几尽而去	jijnerqupt#序52000
送杨氏女	ssyhuinvza#序52000
送杨氏女	ssyhuinvzv#序52000
子夜秋歌	ziyeqqgeaq#序52000
子夜秋歌	ziyeqqgevq#序52000
送陈章甫	ssifvhfuza#序52000
送陈章甫	ssifvhfuzh#序52000
列缺霹雳	lxqtpilidy#序52000
丘峦崩摧	qqlrbgcvjf#序52000
丘峦崩摧	qqlrbgcvjt#序52000
丘峦崩摧	qqlrbgcvpf#序52000
丘峦崩摧	qqlrbgcvpt#序52000
洞天石扇	dstmuiujdh#序52000
洞天石扇	dstmuiujdy#序52000
訇然中开	hsrjvsklba#序52000
訇然中开	hsrjvsklbh#序52000
訇然中开	hsrjvsklga#序52000
訇然中开	hsrjvsklgh#序52000
訇然中开	hsrjvsklya#序52000
訇然中开	hsrjvsklyh#序52000
寄韩谏议	jihjjmyiby#序52000
时取一醉	uiquyizvoy#序52000
时取一醉	uiquyizvry#序52000
使舫载之	uifhzlvird#序52000
遍饮坐者	bmynzovezl#序52000
遍饮坐者	bmynzovezo#序52000
遍饮坐者	bmynzovezr#序52000
古从军行	gucsjpxyur#序52000
古从军行	gucsjpxyux#序52000
危呼高哉	wzhugkzldg#序52000
危呼高哉	wzhugkzldk#序52000
朝避猛虎	ikbimghuoh#序52000
朝避猛虎	ikbimghuuh#序52000
朝避猛虎	ikbimghuyh#序52000
夕避长蛇	xibivhuepi#序52000
磨牙吮血	moyaupxtmp#序52000
磨牙吮血	moyaupxtup#序52000
望月怀远	whythyyrwz#序52000
在狱咏蝉	zlyuysijti#序52000
在狱咏蝉	zlyuysijui#序52000
赠孟浩然	zgmghkrjbd#序52000
赠孟浩然	zgmghkrjbh#序52000
春宿左省	ipsuzougfm#序52000
春宿左省	ipsuzougfo#序52000
春宿左省	ipsuzougom#序52000
春宿左省	ipsuzougoo#序52000
春宿左省	ipsuzougrm#序52000
春宿左省	ipsuzougro#序52000
旅夜书怀	lvyeuuhyfx#序52000
登岳阳楼	dgytyhlbdm#序52000
山居秋暝	ujjuqqmyao#序52000
山居秋暝	ujjuqqmyar#序52000
山居秋暝	ujjuqqmyuo#序52000
山居秋暝	ujjuqqmyur#序52000
归嵩山作	gvssujzoar#序52000
归嵩山作	gvssujzodr#序52000
归嵩山作	gvssujzour#序52000
酬张少府	ibvhukfuyg#序52000
过香积寺	goxdjisizc#序52000
过香积寺	goxdjisizt#序52000
汉江临泛	hjjdlnfjdd#序52000
终南别业	vsnjbxyesa#序52000
终南别业	vsnjbxyesu#序52000
留别王维	lqbxwhwzls#序52000
留别王维	lqbxwhwzts#序52000
蜀先主庙	uuxmvumcsg#序52000
没蕃故人	mzfjgurfdp#序52000
送人东游	ssrfdsybzd#序52000
灞上秋居	bauhqqjudu#序52000
楚江怀古	iujdhygumu#序52000
楚江怀古	iujdhygupu#序52000
除夜有怀	iuyeybhyex#序52000
章台夜思	vhtlyesilt#序52000
章台夜思	vhtlyesilx#序52000
行经华阴	xyjyhwynre#序52000
行经华阴	xyjyhwynxe#序52000
赠郭给事	zggogzuiba#序52000
赠郭给事	zggogzuibh#序52000
咏怀古迹	yshygujikz#序52000
晚次鄂州	wjcieevbod#序52000
晚次鄂州	wjcieevboi#序52000
晚次鄂州	wjcieevbrd#序52000
晚次鄂州	wjcieevbri#序52000
利州南渡	livbnjdudd#序52000
利州南渡	livbnjduhd#序52000
问刘十九	wflquijqkp#序52000
问刘十九	wflquijqmp#序52000
登乐游原	dgleybyrdi#序52000
逢入京使	fgrujyuizr#序52000
题金陵渡	tijnlyduud#序52000
题金陵渡	tijnlyduyd#序52000
兰叶春葳蕤	ljyeipwzrvbc#序52000
兰叶春葳蕤	ljyeipwzrvqc#序52000
桂华秋皎洁	gvhwqqjcjxmd#序52000
欣欣此生意	xnxnciugyijl#序52000
欣欣此生意	xnxnciugyijx#序52000
欣欣此生意	xnxnciugyiql#序52000
欣欣此生意	xnxnciugyiqx#序52000
自尔为佳节	zierwzjwjxpc#序52000
谁知林栖者	uvvilnqiveyl#序52000
谁知林栖者	uvvilnqiveyo#序52000
谁知林栖者	uvvilnqiveyr#序52000
闻风坐相悦	wffgzoxdytex#序52000
闻风坐相悦	wffgzoxdytmx#序52000
草木有本心	ckmuybbfxncd#序52000
何求美人折	heqqmzrfverf#序52000
何求美人折	heqqmzrfvert#序52000
江南有丹桔	jdnjybdjjudm#序52000
经冬犹绿林	jydsyblulnsm#序52000
岂伊地气暖	qiyidiqinruo#序52000
岂伊地气暖	qiyidiqinrur#序52000
自有岁寒心	ziybsvhjxnpd#序52000
可以荐佳客	keyijmjwkedb#序52000
奈何阻重深	nlhezuvsufdd#序52000
运命唯所遇	ypmywzsoyuzz#序52000
循环不可寻	xphrbukexprc#序52000
循环不可寻	xphrbukexprx#序52000
循环不可寻	xphrbukexpxc#序52000
循环不可寻	xphrbukexpxx#序52000
徒言树桃李	tuyjuutklirm#序52000
徒言树桃李	tuyjuutklixm#序52000
此木岂无阴	cimuqiwuynve#序52000
暮从碧山下	mucsbiujxwca#序52000
暮从碧山下	mucsbiujxwch#序52000
暮从碧山下	mucsbiujxwoa#序52000
暮从碧山下	mucsbiujxwoh#序52000
暮从碧山下	mucsbiujxwra#序52000
暮从碧山下	mucsbiujxwrh#序52000
山月随人归	ujytsvrfgvaa#序52000
山月随人归	ujytsvrfgvad#序52000
山月随人归	ujytsvrfgvau#序52000
山月随人归	ujytsvrfgvua#序52000
山月随人归	ujytsvrfgvud#序52000
山月随人归	ujytsvrfgvuu#序52000
却顾所来径	qtgusolljyer#序52000
却顾所来径	qtgusolljyex#序52000
苍苍横翠微	chchhgcvwzcr#序52000
苍苍横翠微	chchhgcvwzcx#序52000
相携及田家	xdxxjitmjwmb#序52000
童稚开荆扉	tsvikljyfzlh#序52000
绿竹入幽径	lvvuruybjysr#序52000
绿竹入幽径	lvvuruybjysx#序52000
青萝拂行衣	qylofuxyyifd#序52000
青萝拂行衣	qylofuxyyiod#序52000
青萝拂行衣	qylofuxyyiyd#序52000
欢言得所憩	hryjdesoqiyx#序52000
美酒聊共挥	mzjqlcgshvdf#序52000
美酒聊共挥	mzjqlcgshvdt#序52000
美酒聊共挥	mzjqlcgshvyf#序52000
美酒聊共挥	mzjqlcgshvyt#序52000
长歌吟松风	vhgeynssfgpj#序52000
曲尽河星稀	qujnhexyxiah#序52000
曲尽河星稀	qujnhexyxioh#序52000
曲尽河星稀	qujnhexyxirh#序52000
曲尽河星稀	qujnhexyxiuh#序52000
我醉君复乐	wozvjpfulepp#序52000
陶然共忘机	tkrjgswhjiem#序52000
花间一壶酒	hwjmyihujqcd#序52000
举杯邀明月	jubzykmyytdo#序52000
举杯邀明月	jubzykmyytdy#序52000
举杯邀明月	jubzykmyytdp#序52000
举杯邀明月	jubzykmyytxo#序52000
举杯邀明月	jubzykmyytxy#序52000
举杯邀明月	jubzykmyytxp#序52000
对影成三人	dvyyigsjrfcp#序52000
对影成三人	dvyyigsjrfyp#序52000
月既不解饮	ytjibujxynou#序52000
月既不解饮	ytjibujxynyu#序52000
月既不解饮	ytjibujxynpu#序52000
影徒随我身	yytusvwoufpp#序52000
暂伴月将影	zjbjytjdyyop#序52000
暂伴月将影	zjbjytjdyyrp#序52000
行乐须及春	xylexujiiprf#序52000
行乐须及春	xylexujiipro#序52000
行乐须及春	xylexujiiprr#序52000
行乐须及春	xylexujiipxf#序52000
行乐须及春	xylexujiipxo#序52000
行乐须及春	xylexujiipxr#序52000
我歌月徘徊	wogeytplhypr#序52000
我歌月徘徊	wogeytplhypx#序52000
我舞影零乱	wowuyylylrpu#序52000
醒时同交欢	xyuitsjchryy#序52000
醉后各分散	zvhbgeffsjyw#序52000
永结无情游	ysjxwuqyybdd#序52000
相期邈云汉	xdqimcyphjmd#序52000
燕草如碧丝	yjckrubisica#序52000
燕草如碧丝	yjckrubisich#序52000
燕草如碧丝	yjckrubisida#序52000
燕草如碧丝	yjckrubisidh#序52000
燕草如碧丝	yjckrubisiha#序52000
燕草如碧丝	yjckrubisihh#序52000
秦桑低绿枝	qnshdilvvifm#序52000
秦桑低绿枝	qnshdilvvihm#序52000
当君怀归日	dhjphygvrixo#序52000
当君怀归日	dhjphygvrixr#序52000
当君怀归日	dhjphygvrixa#序52000
当君怀归日	dhjphygvrixu#序52000
是妾断肠时	uiqxdrihuioo#序52000
是妾断肠时	uiqxdrihuior#序52000
是妾断肠时	uiqxdrihuiro#序52000
是妾断肠时	uiqxdrihuirr#序52000
春风不相识	ipfgbuxduify#序52000
春风不相识	ipfgbuxduioy#序52000
春风不相识	ipfgbuxduiry#序52000
何事入罗帏	heuirulowzrj#序52000
岱宗夫如何	dlzsfuruheur#序52000
齐鲁青未了	qiluqywzlcwa#序52000
齐鲁青未了	qiluqywzlcwv#序52000
造化钟神秀	zkhwvsufxqzh#序52000
阴阳割昏晓	ynyhgehpxceo#序52000
阴阳割昏晓	ynyhgehpxcer#序52000
荡胸生层云	dhxsugcgypce#序52000
荡胸生层云	dhxsugcgypcs#序52000
决眦入归鸟	jtzirugvncdn#序52000
决眦入归鸟	jtzirugvncdp#序52000
赠卫八处士	zgwzbaiuuiba#序52000
赠卫八处士	zgwzbaiuuibh#序52000
赠卫八处士	zgwzbaiuuibu#序52000
人生不相见	rfugbuxdjmpa#序52000
人生不相见	rfugbuxdjmpe#序52000
人生不相见	rfugbuxdjmpk#序52000
人生不相见	rfugbuxdjmpu#序52000
动如参与商	dsrucjyuuhld#序52000
动如参与商	dsrucjyuuhll#序52000
动如参与商	dsrucjyuuhlw#序52000
动如参与商	dsrucjyuuhyd#序52000
动如参与商	dsrucjyuuhyl#序52000
动如参与商	dsrucjyuuhyw#序52000
今夕复何夕	jnxifuhexirp#序52000
共此灯烛光	gscidgvugdbe#序52000
共此灯烛光	gscidgvugdbx#序52000
共此灯烛光	gscidgvugdce#序52000
共此灯烛光	gscidgvugdcx#序52000
少壮能几时	ukvdngjiuixo#序52000
少壮能几时	ukvdngjiuixr#序52000
鬓发各已苍	bnfageyichbc#序52000
鬓发各已苍	bnfageyichic#序52000
访旧半为鬼	fhjqbjwzgvyp#序52000
惊呼热中肠	jyhurevsihxo#序52000
惊呼热中肠	jyhurevsihxy#序52000
焉知二十载	yjvieruizlvg#序52000
焉知二十载	yjvieruizlvi#序52000
重上君子堂	vsuhjpzithpd#序52000
重上君子堂	vsuhjpzithpt#序52000
重上君子堂	vsuhjpzithpx#序52000
昔别君未婚	xibxjpwzhpcn#序52000
昔别君未婚	xibxjpwzhpon#序52000
昔别君未婚	xibxjpwzhprn#序52000
儿女忽成行	ernvhuighhpr#序52000
儿女忽成行	ernvhuighhpx#序52000
怡然敬父执	yirjjyfuvixf#序52000
怡然敬父执	yirjjyfuvixt#序52000
问我来何方	wfwollhefhkd#序52000
问我来何方	wfwollhefhkw#序52000
问我来何方	wfwollhefhmd#序52000
问我来何方	wfwollhefhmw#序52000
问答乃未已	wfdanlwzyika#序52000
问答乃未已	wfdanlwzyikv#序52000
问答乃未已	wfdanlwzyima#序52000
问答乃未已	wfdanlwzyimv#序52000
驱儿罗酒浆	querlojqjdmu#序52000
夜雨剪春韭	yeyujmipjqdf#序52000
夜雨剪春韭	yeyujmipjqwf#序52000
新炊间黄粱	xnivjmhdldjm#序52000
主称会面难	vuighvmmnjdy#序52000
一举累十觞	yijulzuiuhaj#序52000
一举累十觞	yijulzuiuhhj#序52000
十觞亦不醉	uiuhyibuzvay#序52000
十觞亦不醉	uiuhyibuzvhy#序52000
感子故意长	gjziguyivhxp#序52000
明日隔山岳	myrigeujytoq#序52000
明日隔山岳	myrigeujytou#序52000
明日隔山岳	myrigeujytrq#序52000
明日隔山岳	myrigeujytru#序52000
世事两茫茫	uiuildmhmhac#序52000
世事两茫茫	uiuildmhmhcc#序52000
世事两茫茫	uiuildmhmhhc#序52000
绝代有佳人	jtdlybjwrfsp#序52000
幽居在空谷	ybjuzlksguub#序52000
幽居在空谷	ybjuzlksguuk#序52000
自云良家女	ziypldjwnvpa#序52000
自云良家女	ziypldjwnvpv#序52000
零落依草木	lyloyickmuya#序52000
零落依草木	lyloyickmuyh#序52000
关中昔丧乱	grvsxishlrbu#序52000
关中昔丧乱	grvsxishlrqu#序52000
兄弟遭杀戮	xsdizkualukg#序52000
官高何足论	grgkhezulpby#序52000
不得收骨肉	budeubgurbaa#序52000
不得收骨肉	budeubgurbak#序52000
不得收骨肉	budeubgurbau#序52000
不得收骨肉	budeubgurbha#序52000
不得收骨肉	budeubgurbhk#序52000
不得收骨肉	budeubgurbhu#序52000
世情恶衰歇	uiqyeeuyxxaq#序52000
世情恶衰歇	uiqyeeuyxxcq#序52000
世情恶衰歇	uiqyeeuyxxhq#序52000
万事随转烛	wjuisvvrvuah#序52000
万事随转烛	wjuisvvrvuhh#序52000
夫婿轻薄儿	fuxuqyboerap#序52000
夫婿轻薄儿	fuxuqyboerep#序52000
夫婿轻薄儿	fuxuqyboerhp#序52000
新人美如玉	xnrfmzruyuja#序52000
新人美如玉	xnrfmzruyujh#序52000
新人美如玉	xnrfmzruyujw#序52000
合昏尚知时	hehpuhviuiro#序52000
合昏尚知时	hehpuhviuirr#序52000
鸳鸯不独宿	yryhbudusunb#序52000
但见新人笑	djjmxnrfxcrv#序52000
