;小鹭音形系列
;维护者: ledao, 790717479@qq.com
;版本：2023-09-03-20-51-03
的=b u bu
的=b u bu
我=p d pd
是=o r or
一=a a aa
个=r l rl
你=r x rx
妳=n x nx
不=a d ad
有=u o uo
就=w y wy
了=v l vl
了=v l vl
这=z w zw
那=v e ve
那=v e ve
么=p s ps
么=p s ps
在=u t ut
好=n z nz
说=y e ye
您=r x rx
要=x n xn
天=a d ad
人=p n pn
话=y k yk
他=r y ry
们=r m rm
来=a n an
后=p k pk
十=a l al
下=a b ab
以=v r vr
到=a d ad
没=d y dy
没=d y dy
什=r u ru
什=r u ru
吗=k m km
上=l a la
啊=k k kk
嗯=k x kx
嗯=k x kx
去=t s ts
可=d k dk
给=s k sk
给=s k sk
还=z b zb
还=z b zb
对=y c yc
时=o c oc
都=l e le
都=l e le
能=s b sb
会=r s rs
会=r s rs
多=x x xx
大=u n un
大=u n un
小=l d ld
也=v v vv
二=a a aa
看=u o uo
为=d d dd
想=m x mx
三=a e ae
点=l h lh
然=p h ph
电=l v lv
打=f d fd
吧=k b kb
呢=k b kb
呢=k b kb
五=a a aa
开=a c ac
请=y o yo
用=k l kl
怎=v x vx
家=b u bu
样=m y my
现=w e we
年=p l pl
儿=p v pv
得=i c ic
得=i c ic
子=v a va
歌=a r ar
过=z c zc
里=l a la
行=i i ii
行=i i ii
行=i i ii
中=l l ll
生=p f pf
放=f w fw
呀=k y ky
如=n k nk
四=k e ke
八=p n pn
听=k j kj
道=z z zz
机=m j mj
候=r u ru
出=v k vk
最=o y oy
发=v d vd
六=w b wb
六=w b wb
百=a b ab
问=m k mk
自=p o po
分=b d bd
很=i g ig
学=x z xz
知=u k uk
保=r m rm
九=p v pv
月=k a ka
零=y s ys
国=k y ky
觉=x e xe
觉=x e xe
面=a a aa
种=h v hv
种=h v hv
首=b z bz
地=t y ty
地=t y ty
果=l n ln
号=k v kv
之=d n dn
和=h k hk
和=h k hk
和=h k hk
手=p l pl
哦=k w kw
哦=k w kw
边=z l zl
些=v e ve
些=v e ve
哪=k e ke
哪=k e ke
哪=k e ke
信=r k rk
事=a l al
七=a v av
播=f t ft
业=l a la
回=k k kk
比=b b bb
着=y o yo
着=y o yo
着=y o yo
明=o o oo
老=l b lb
跟=z g zg
定=b r br
方=d w dw
气=p v pv
做=r w rw
车=a l al
