;小鹭音形系列
;维护者: ledao, 790717479@qq.com
;版本：2023-09-02-18-29-49
的=b u bu
的=b u bu
我=p d pd
是=o p op
是=o v ov
是=r p rp
是=r v rv
一=a a aa
个=p a pa
个=p u pu
个=r a ra
个=r u ru
你=r e re
妳=n e ne
不=a d ad
不=a g ag
有=o u ou
有=u o uo
有=u y uy
有=y u yu
就=y j yj
了=a a aa
了=v u vu
了=a a aa
了=v u vu
这=z w zw
那=e l el
那=e l el
么=p s ps
么=p s ps
在=t a ta
在=t u tu
在=u t ut
好=n z nz
说=y d yd
您=x n xn
要=x n xn
天=a d ad
天=a n an
人=p d pd
话=y u yu
他=r y ry
们=r m rm
来=a n an
来=a m am
后=p k pk
十=a l al
下=a b ab
下=a d ad
以=r d rd
以=r y ry
到=v d vd
没=d u du
没=d u du
什=r u ru
什=r u ru
吗=k m km
上=l a la
啊=k a ka
嗯=k e ke
嗯=k e ke
去=t s ts
可=d k dk
给=s h sh
给=s h sh
还=z b zb
还=z b zb
对=c y cy
对=y c yc
时=r c rc
都=v e ve
都=v e ve
能=s b sb
会=r y ry
会=r y ry
多=x x xx
大=a d ad
大=h d hd
大=a d ad
大=h d hd
小=l b lb
小=l d ld
也=g g gg
二=a a aa
看=o u ou
看=u o uo
为=d d dd
想=x x xx
三=a a aa
点=v h vh
然=d q dq
然=h q hq
电=a g ag
电=o g og
电=r g rg
电=u g ug
打=f d fd
打=t d td
吧=k b kb
呢=k n kn
呢=k n kn
五=a a aa
开=a c ac
开=a l al
请=y q yq
用=k f kf
怎=x v xv
家=b u bu
样=m y my
现=w j wj
年=p a pa
年=p u pu
年=r a ra
年=r u ru
儿=p g pg
得=i c ic
得=i c ic
子=a a aa
子=v h vh
歌=g q gq
过=z c zc
里=l a la
行=i i ii
行=i i ii
行=i i ii
中=a a aa
中=k a ka
中=k u ku
中=u u uu
生=n a na
生=n h nh
放=f w fw
放=w f wf
呀=k y ky
如=n k nk
四=a a aa
四=k e ke
四=u h uh
八=p d pd
听=k j kj
道=z u zu
机=m j mj
候=r u ru
出=c k ck
出=u u uu
最=o q oq
最=r q rq
发=a y ay
发=f d fd
发=v y vy
发=y d yd
六=d b db
六=d d dd
六=w b wb
六=d b db
六=d d dd
六=w b wb
百=a b ab
问=k m km
问=m k mk
自=p a pa
自=p h ph
自=p m pm
自=p o po
分=b d bd
很=i g ig
学=d z dz
学=z b zb
知=k u ku
知=u k uk
保=r d rd
九=p y py
月=o y oy
月=y t yt
月=p a pa
月=p h ph
零=y l yl
国=k y ky
觉=d j dj
觉=j b jb
觉=d j dj
觉=j b jb
面=a a aa
种=h v hv
种=h v hv
首=b z bz
地=t y ty
地=t y ty
