---config@码表分类=主码-系统码表
---config@允许编辑=否
---config@码表别名=系统单字
的	debu#序999511
我	wopd#序999510
是	uirz#序999509
一	yihh#序999508
个	geri#序999507
你	nire#序999506
妳	ni#序999505
不	buhg#序999504
有	yzuy#序999503
就	jqjy#序999502
了	levl#序999501
了	lnvl#序999500
这	vezw#序999499
那	naae#序999498
那	nwae#序999497
么	meps#序999496
么	mops#序999495
在	zdut#序999494
好	hcnz#序999493
说	uoyd#序999492
您	nbnx#序999491
要	ycyn#序999490
天	tmhd#序999489
人	rfpn#序999488
话	hxyu#序999487
他	tary#序999486
们	mfrm#序999485
来	ldhm#序999484
后	hzpk#序999483
十	euhi#序999482
十	uihi#序999481
下	xxhb#序999480
以	yivr#序999479
到	dcvd#序999478
没	mwum#序999477
什	ufru#序999476
什	uiru#序999475
吗	makm#序999474
上	uhby#序999473
啊	aaka#序999472
嗯	enke#序999471
嗯	ogke#序999470
嗯	onke#序999469
去	quts#序999468
可	kedk#序999467
给	gwsh#序999466
给	jish#序999465
还	hdzb#序999464
还	hrzb#序999463
对	dvyc#序999462
时	uioc#序999461
都	duve#序999460
都	dzve#序999459
能	ngsyb#序999458
会	hvry#序999457
会	kkry#序999456
多	doxx#序999455
大	dayr#序999454
大	ddyr#序999453
小	xnld#序999452
也	yevv#序999451
二	erhh#序999450
看	kjko#序999449
为	wwvd#序999448
想	xlmx#序999447
三	sjhe#序999446
点	dmvh#序999445
然	rjaqh#序999444
电	dmol#序999443
打	dafd#序999442
吧	bakb#序999441
呢	nekn#序999440
呢	nikn#序999439
五	wuxvh#序999438
开	kdeh#序999437
请	qkyq#序999436
用	yskel#序999435
怎	zfvx#序999434
家	jxbu#序999433
样	yhmy#序999432
现	xmwj#序999431
年	nmwv#序999430
儿	erpl#序999429
得	deidc#序999428
得	dwidc#序999427
子	zilh#序999426
歌	gegq#序999425
过	gozc#序999424
里	lije#序999423
行	hgii#序999422
行	hhii#序999421
行	xkii#序999420
中	vski#序999419
生	ugnh#序999418
放	fhfw#序999417
呀	yaky#序999416
如	runk#序999415
四	sike#序999414
八	bapn#序999413
听	tkkj#序999412
道	dczu#序999411
机	jimj#序999410
候	hzrh#序999409
出	iuww#序999408
最	zvoq#序999407
发	favpy#序999406
六	lqwb#序999405
六	luwb#序999404
百	bdhb#序999403
问	wfmk#序999402
自	zipo#序999401
分	ffbd#序999400
很	hfig#序999399
学	xtxz#序999398
知	viuk#序999397
保	bcrd#序999396
九	jqpv#序999395
月	ytke#序999394
零	lkyl#序999393
国	goky#序999392
觉	jnxj#序999391
觉	jtxj#序999390
面	mmhkz#序999389
种	ishv#序999388
种	vshv#序999387
首	uzbz#序999386
地	dety#序999385
地	dity#序999384
果	gotm#序999383
号	hckd#序999382
之	vidz#序999381
和	hehk#序999380
和	hohk#序999379
和	huhk#序999378
手	uzpel#序999377
哦	eekw#序999376
哦	ookw#序999375
边	bmzd#序999374
些	soce#序999373
些	xpce#序999372
哪	nakn#序999371
哪	nekn#序999370
哪	nwkn#序999369
信	xbry#序999368
事	ui#序999367
七	qihl#序999366
播	bofb#序999365
业	yelbh#序999364
回	hvkk#序999363
比	bibb#序999362
着	vcym#序999361
着	veym#序999360
着	voym#序999359
明	mkoy#序999358
老	lclb#序999357
跟	gfzg#序999356
定	dkbr#序999355
方	fhdw#序999354
气	qipey#序999353
做	zorg#序999352
车	iehvu#序999351
车	juhvu#序999350
钱	qmjj#序999349
险	xmeq#序999348
再	zdhr#序999347
它	tabb#序999346
别	bpld#序999345
心	xbdd#序999344
把	bafb#序999343
吃	iikq#序999342
意	yiyx#序999341
因	ybkd#序999340
动	dsyd#序999339
前	qmby#序999338
少	ucxp#序999337
公	gsbs#序999336
费	fwfb#序999335
情	qkxq#序999334
女	nvvv#序999333
她	tany#序999332
找	vcfg#序999331
两	llhkc#序999330
叫	jnkj#序999329
起	qizj#序999328
但	djrd#序999327
办	bjlb#序999326
本	bfmh#序999325
