---config@码表分类=主码-系统码表
---config@允许编辑=否
---config@码表别名=系统单字
的	debu#序999511
我	wopd#序999510
是	uior#序999509
一	yiaa#序999508
个	gerl#序999507
你	nirx#序999506
妳	ninx#序999505
不	buad#序999504
有	yzuo#序999503
就	jqwy#序999502
了	levl#序999501
了	lnvl#序999500
这	vezw#序999499
那	nave#序999498
那	nwve#序999497
么	meps#序999496
么	mops#序999495
在	zdut#序999494
好	hcnz#序999493
说	uoye#序999492
您	nbrx#序999491
要	ycxn#序999490
天	tmad#序999489
人	rfpn#序999488
话	hxyk#序999487
他	tary#序999486
们	mfrm#序999485
来	ldan#序999484
后	hzpk#序999483
十	eual#序999482
十	uial#序999481
下	xxab#序999480
以	yivr#序999479
到	dcad#序999478
没	mwdy#序999477
什	ufru#序999476
什	uiru#序999475
吗	makm#序999474
上	uhla#序999473
啊	aakk#序999472
嗯	enkx#序999471
嗯	ogkx#序999470
嗯	onkx#序999469
去	quts#序999468
可	kedk#序999467
给	gwsk#序999466
给	jisk#序999465
还	hdzb#序999464
还	hrzb#序999463
对	dvyc#序999462
时	uioc#序999461
都	dule#序999460
都	dzle#序999459
能	ngsb#序999458
会	hvrs#序999457
会	kkrs#序999456
多	doxx#序999455
大	daun#序999454
大	ddun#序999453
小	xnld#序999452
也	yevv#序999451
二	eraa#序999450
看	kjuo#序999449
为	wwdd#序999448
想	xlmx#序999447
三	sjae#序999446
点	dmlh#序999445
然	rjph#序999444
电	dmlv#序999443
打	dafd#序999442
吧	bakb#序999441
呢	nekb#序999440
呢	nikb#序999439
五	wuaa#序999438
开	kdac#序999437
请	qkyo#序999436
用	yskl#序999435
怎	zfvx#序999434
家	jxbu#序999433
样	yhmy#序999432
现	xmwe#序999431
年	nmpl#序999430
儿	erpv#序999429
得	deic#序999428
得	dwic#序999427
子	ziva#序999426
歌	gear#序999425
过	gozc#序999424
里	lila#序999423
行	hgii#序999422
行	hhii#序999421
行	xkii#序999420
中	vsll#序999419
生	ugpf#序999418
放	fhfw#序999417
呀	yaky#序999416
如	runk#序999415
四	sike#序999414
八	bapn#序999413
听	tkkj#序999412
道	dczz#序999411
机	jimj#序999410
候	hzru#序999409
出	iuvk#序999408
最	zvoy#序999407
发	favd#序999406
